Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,436.0029338549868,0.3187110943617601,0.00107192261968985,0.12841773255285174,0.9429679584095133,0.7791658854633092,1.0925311300027494,1.2620855938898101,1.044594203118623
Persistence_P,PAC,1.0,0.5,0,398.8704055638868,0.2915678166240657,-0.0008919003187237766,0.16392246713332623,0.9522686492488827,0.9945884552875327,0.9994848682837228,0.9999364058792394,0.998003243150165
Persistence_Pcyclic,PAC,1.0,0.5,0,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.906862164179065,1.4005591574093157,1.6387394106513296,1.31538691074657
BLEND_corre,PAC,1.0,1.0,0,469.9005489151151,0.3434897028370425,0.0005096908642551908,0.1559750924770535,0.9337551684898155,0.5169466792673598,0.6788803311605381,0.8152952040887612,0.6703740715055532
Persistence_P,PAC,1.0,1.0,0,688.2008698472952,0.5030637074627978,-0.007000801961224733,0.2947229516338432,0.8579077047553256,0.9767973125158046,0.99426577710021,0.997921352400588,0.9896614806722009
Persistence_Pcyclic,PAC,1.0,1.0,0,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.49536674582127727,0.8075033312842866,1.0076971977200806,0.7701890916085482
BLEND_corre,PAC,1.0,3.0,0,730.9804653593744,0.5342738610822119,-0.050218999450784854,0.3023668603920428,0.8397013434796659,0.36629747694695286,0.4240079593395142,0.46193259161950606,0.41741267596865766
Persistence_P,PAC,1.0,3.0,0,1616.2544689615747,1.1813209197032972,-0.11743102318533653,0.7080370169230357,0.2163217064230295,0.8577400729289053,0.9375144639752429,0.9632860790996309,0.9195135386679264
Persistence_Pcyclic,PAC,1.0,3.0,0,558.9614484269689,0.4085451053748223,3.9853070323664467e-05,0.14946391395536973,0.9062692587415927,0.18106565813952924,0.3242276836775098,0.4266487611947837,0.3106473676706076
BLEND_corre,PAC,1.0,6.0,0,1112.9125734543545,0.8132887667042584,-0.2523846337313785,0.4750332296587372,0.6284580887279974,0.31757566815326876,0.40253195571266176,0.44299866903956114,0.3877020976351639
Persistence_P,PAC,1.0,6.0,0,2282.958475494616,1.668329145755852,-0.4761993949891405,1.0200497760412335,-0.5634418657108284,0.681937533946008,0.8257285988775247,0.8803282133665346,0.7959981153966891
Persistence_Pcyclic,PAC,1.0,6.0,0,559.0093491439113,0.4085100977251638,3.9853070323664467e-05,0.14946391395536973,0.906260236080486,0.0999216462673122,0.20218940098243918,0.2799295302373915,0.19401352582904763
BLEND_corre,PAC,1.0,10.0,0,1224.2357321084055,0.8944561342226198,-0.4761994414921447,0.533300786645674,0.5504650938287713,0.2716891726457065,0.38077012308252356,0.43116733178098204,0.36120887583640404
Persistence_P,PAC,1.0,10.0,0,2305.972857421792,1.6847993516081616,-0.9326608659331518,1.032234309708575,-0.5949302676107746,0.525870001702368,0.7172193603867982,0.7982339881975088,0.680441116762225
Persistence_Pcyclic,PAC,1.0,10.0,0,559.0731270921864,0.4084723022627376,4.257784994122013e-05,0.14946447071619037,0.9062501561921633,0.07614441869516711,0.17388672608697625,0.25169866272501923,0.1672432691690542
