Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,617.3681247482168,0.22510836641613205,0.0012159402925713237,0.12829234371010606,0.8692041973462632,0.7832150885489119,1.0930974615078284,1.2621661462265696,1.04615956542777
Persistence_P,PAC,1.0,0.5,0,564.7878130616219,0.2059362264967806,-0.0007481651682097293,0.16380218612462824,0.890534809838307,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,791.4335001308289,0.2885770988162231,0.00018372226610634642,0.14934155288915052,0.7850515783219263,0.9117189240412492,1.40129351559588,1.6388442024189882,1.317285547352039
BLEND_corre,PAC,1.0,1.0,0,665.3676217381991,0.2426102229634192,0.0006536276525296647,0.1558536681315206,0.84807518068055,0.5289962696564118,0.6827908545706598,0.8169933737178424,0.676260165981638
Persistence_P,PAC,1.0,1.0,0,974.4823283501411,0.35532143018519624,-0.006857945658452327,0.2946214880357267,0.6741232791103591,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,791.4335001308289,0.2885770988162231,0.00018372226610634642,0.14934155288915052,0.7850515783219263,0.5068929421435849,0.8121578781944407,1.0097962112533754,0.7762823438638004
BLEND_corre,PAC,1.0,3.0,0,1034.9992049786536,0.37738744670331,-0.0500823606675412,0.3022664964731064,0.6323915935235351,0.42693308631546834,0.45226622941043393,0.47953828927538156,0.45291253500042794
Persistence_P,PAC,1.0,3.0,0,2288.4733320191954,0.8344364937334928,-0.11730405375654106,0.7079950141174028,-0.7972029122115987,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,791.4335001308289,0.2885770988162231,0.00018372226610634642,0.14934155288915052,0.7850515783219263,0.21093588219024667,0.3458347051973383,0.44290967195742953,0.3332267531150048
BLEND_corre,PAC,1.0,6.0,0,1575.6487759939907,0.5745222466000173,-0.2522770791962571,0.4749577061215204,0.1480301328091751,0.46562077089432874,0.4874861288980452,0.5032198813174892,0.4854422603699544
Persistence_P,PAC,1.0,6.0,0,3232.1920206339414,1.1785407061708932,-0.47612403922050583,1.0200526604714346,-2.585087084315179,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,791.4335001308289,0.2885770988162231,0.00018372226610634642,0.14934155288915052,0.7850515783219263,0.14640572852398598,0.24485967884284368,0.317983109298629,0.23641617222181957
BLEND_corre,PAC,1.0,10.0,0,1733.1607394390344,0.6318957937397427,-0.47612481601572165,0.5332342963554727,-0.030907725647312034,0.5165803141764729,0.5308969911397224,0.5401515480802831,0.5292096177988261
Persistence_P,PAC,1.0,10.0,0,3264.589493563165,1.1902418063873323,-0.9326512721767495,1.0322389021067313,-2.657625750738947,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,791.4787489389297,0.288566479096901,0.0001850531730450464,0.14934329555122236,0.7850088284355713,0.144679003326093,0.24244357537126765,0.3153193696679844,0.23414731612178166
