Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,0.75,336,246.57958359357204,0.18009749935022243,-0.004429819334042008,0.06955944732718647,0.9817806862385196,0.42475132032539464,0.6183562911978908,0.7608448578810049,0.6013174898014301
Persistence_P,PAC,1.0,0.5,0,1y,,,336,398.7661920862707,0.29125198839868577,-0.0007608649071733448,0.1637651114866416,0.9523509279103761,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,0.75,336,309.9346812105527,0.2263709761953869,-0.006379167391129567,0.09065030832883915,0.9712155366464739,0.3078065408666278,0.45035203768585574,0.5758370760558797,0.44466521820278776
Persistence_P,PAC,1.0,1.0,0,1y,,,336,688.2053488714276,0.5026533850243008,-0.006781860974937274,0.29450416509543187,0.858076643792643,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,50.0,0.5,336,413.78366215311905,0.30222049100620135,-0.02220273409575675,0.1291972159775069,0.9486944363354759,0.18252476599991171,0.25589819588071744,0.320751927435146,0.25305829643859173
Persistence_P,PAC,1.0,3.0,0,1y,,,336,1616.9854606790475,1.1810184513652306,-0.1172442283694906,0.7078338945936213,0.21651621054777448,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,100.0,0.5,336,467.0405364522096,0.34111839871085764,-0.02833454558755056,0.1527533799998164,0.934637758337282,0.1497692244386078,0.2044810001792819,0.2539559064502539,0.20273537702271452
Persistence_P,PAC,1.0,6.0,0,1y,,,336,2284.029010239213,1.6682156210688366,-0.47620821558901616,1.0199250251337972,-0.5632232899603895,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,50.0,0.5,336,472.9028674781723,0.34540014476116865,-0.027262899048096804,0.15605279605788397,0.932986595794774,0.15118720886042916,0.20499546217090478,0.253369302845928,0.20318399129242062
Persistence_P,PAC,1.0,10.0,0,1y,,,336,2306.8943208309315,1.6849160518158612,-0.932769713324997,1.0321825320682156,-0.5946786695511452,1.0,1.0,1.0,1.0
