Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,0.75,336,250.6198568902751,0.1830484456809091,-0.002455469726612835,0.07326097368131948,0.9811787379835929,0.4473539755584352,0.6284882265948337,0.7633829874677838,0.6130750632070175
Persistence_P,PAC,1.0,0.5,0,6m,,,336,398.7661920862707,0.29125198839868577,-0.0007608649071733448,0.1637651114866416,0.9523509279103761,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,0.75,336,316.48374591377643,0.23115430074701515,-0.004729450719585683,0.09593437593258673,0.9699862261460162,0.3257487917072409,0.4598681867741524,0.5796383555785137,0.4550851113533024
Persistence_P,PAC,1.0,1.0,0,6m,,,336,688.2053488714276,0.5026533850243008,-0.006781860974937274,0.29450416509543187,0.858076643792643,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,10.0,0.75,336,423.6799633723531,0.3094485797085422,-0.0043515830842120115,0.133013773954505,0.9462109793399648,0.18791664961292975,0.2620184124564918,0.3273238371873027,0.2590862997522414
Persistence_P,PAC,1.0,3.0,0,6m,,,336,1616.9854606790475,1.1810184513652306,-0.1172442283694906,0.7078338945936213,0.21651621054777448,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,25.0,0.75,336,476.19470820705834,0.3478044487789285,-0.006561168910765026,0.1530113110660943,0.9320503983234681,0.1500221166217799,0.20848890538267947,0.26039346422514603,0.20630149540986845
Persistence_P,PAC,1.0,6.0,0,6m,,,336,2284.029010239213,1.6682156210688366,-0.47620821558901616,1.0199250251337972,-0.5632232899603895,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,50.0,0.75,336,481.0319108112849,0.35133745860957005,-0.005867405359349377,0.15512322734660408,0.9306629180074544,0.15028662327367517,0.20851926612659902,0.26026173882100123,0.2063558760737585
Persistence_P,PAC,1.0,10.0,0,6m,,,336,2306.8943208309315,1.6849160518158612,-0.932769713324997,1.0321825320682156,-0.5946786695511452,1.0,1.0,1.0,1.0
