Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,0.75,336,354.85896557912133,0.12928498208504127,-0.0023123718011522415,0.073128032816942,0.9568142356029322,0.44686953003340996,0.6284707350082324,0.7633825584531693,0.6129076078316039
Persistence_P,PAC,1.0,0.5,0,6m,,,336,564.6388062516118,0.20571360746550554,-0.0006175238903751921,0.16364515345558384,0.8906621594252359,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,0.75,336,448.1249919447429,0.16326438719361494,-0.004586678997069173,0.09580468757145784,0.9311304291043235,0.3254202574927709,0.45985772661796703,0.5796381032954376,0.45497202913539186
Persistence_P,PAC,1.0,1.0,0,6m,,,336,974.4861638848329,0.3550323888093524,-0.006639383671006423,0.2944029616029239,0.6743280151140731,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,10.0,0.75,336,599.9170684036516,0.21856645869014488,-0.004208757156521617,0.132889404639066,0.8765726276666529,0.18775206242951625,0.2620144846021435,0.3273237573305274,0.25903010145406236
Persistence_P,PAC,1.0,3.0,0,6m,,,336,2289.6332212877355,0.8341770075117322,-0.11711759691016711,0.7077919833181797,-0.797880749437242,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,25.0,0.75,336,674.2785033792484,0.24565839582902618,-0.0064186599485215965,0.15288981040061345,0.8440779001190324,0.1499025694774202,0.2084863644064369,0.26039341669505534,0.20626078352630414
Persistence_P,PAC,1.0,6.0,0,6m,,,336,3234.1611658821294,1.1782947845458311,-0.47613307757216794,1.0199278833819003,-2.5871733354980195,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,50.0,0.75,336,681.1280218121932,0.2481538657305665,-0.005724796876611421,0.15500202963585785,0.8408940057015627,0.1501685327485729,0.20851677566765411,0.2602616924311292,0.20631566694911874
Persistence_P,PAC,1.0,10.0,0,6m,,,336,3266.5382419772964,1.1900906530709463,-0.9327600691294154,1.0321871486576863,-2.6593549775166507,1.0,1.0,1.0,1.0
