Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,315.00247226726685,0.23026171355156888,-0.007005649776876417,0.11427018535179588,0.9702307413275625,0.6933266020332899,0.7893295669755287,0.8699701766803847,0.7842087818964011
ELM,PAC,1.0,0.5,27000,500.0,100.0,25.0,1.25,244.79988012043776,0.17894475388727946,0.0034315931994784356,0.06687800169322344,0.9820211256712625,0.40577774090405366,0.6134167201303122,0.7634973918767216,0.5942306176370292
Persistence_P,PAC,1.0,0.5,0,,,,,398.8704055638868,0.2915678166240657,-0.0008919003187237766,0.16392246713332623,0.9522686492488827,0.9945884552875327,0.9994848682837228,0.9999364058792394,0.998003243150165
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.906862164179065,1.4005591574093157,1.6387394106513296,1.31538691074657
BLEND_opti,PAC,1.0,1.0,0,,,,,411.27052430612576,0.30063210291134373,-0.012617177104729246,0.1474480622490298,0.949254765385908,0.48868562879843486,0.5941756620249179,0.6931798022813511,0.592013697701568
ELM,PAC,1.0,1.0,27000,500.0,100.0,25.0,1.25,308.36889880584147,0.2254126786179572,0.005241667789001309,0.08728033199206876,0.971471349081158,0.28927232593428626,0.4455103970919967,0.5793522670885469,0.4380449967049433
Persistence_P,PAC,1.0,1.0,0,,,,,688.2008698472952,0.5030637074627978,-0.007000801961224733,0.2947229516338432,0.8579077047553256,0.9767973125158046,0.99426577710021,0.997921352400588,0.9896614806722009
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.49536674582127727,0.8075033312842866,1.0076971977200806,0.7701890916085482
BLEND_opti,PAC,1.0,3.0,0,,,,,518.6174026513708,0.3790576291293261,-0.03037419576332764,0.17138566244220454,0.9193113383697804,0.20762240827604184,0.30082596867764133,0.3784492723600225,0.29563254977123526
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,1.25,409.83597238896533,0.29954924619084716,0.007696292970129331,0.12188484397648966,0.9496106808635522,0.14765543673924422,0.23772689223799942,0.3109473571011079,0.2321098953594505
Persistence_P,PAC,1.0,3.0,0,,,,,1616.2544689615747,1.1813209197032972,-0.11743102318533653,0.7080370169230357,0.2163217064230295,0.8577400729289053,0.9375144639752429,0.9632860790996309,0.9195135386679264
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,558.9614484269689,0.4085451053748223,3.9853070323664467e-05,0.14946391395536973,0.9062692587415927,0.18106565813952924,0.3242276836775098,0.4266487611947837,0.3106473676706076
BLEND_opti,PAC,1.0,6.0,0,,,,,550.6019521979808,0.40236618161131693,-0.04123897225521576,0.168206981741486,0.9090586898504537,0.1124520165736043,0.19914850988657012,0.2704743062615705,0.19402494424058161
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,1.25,461.3849832219534,0.33716864462744583,0.016310481893252106,0.140290221645393,0.9361423953838869,0.09378872485702203,0.166879415385097,0.22778023510210413,0.16281612511474106
Persistence_P,PAC,1.0,6.0,0,,,,,2282.958475494616,1.668329145755852,-0.4761993949891405,1.0200497760412335,-0.5634418657108284,0.681937533946008,0.8257285988775247,0.8803282133665346,0.7959981153966891
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,559.0093491439113,0.4085100977251638,3.9853070323664467e-05,0.14946391395536973,0.906260236080486,0.0999216462673122,0.20218940098243918,0.2799295302373915,0.19401352582904763
BLEND_opti,PAC,1.0,10.0,0,,,,,556.274709509324,0.40642771092508984,-0.049321741104015035,0.16392308915597809,0.9071863293133984,0.08351033710345143,0.17301634321910514,0.24779217281049937,0.1681062843776853
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,1.25,466.3023233654894,0.34069171696059336,0.018592373630197324,0.14107836898861195,0.9347818498372262,0.07187213352863071,0.14503251980380996,0.20681326165677658,0.14123930499640577
Persistence_P,PAC,1.0,10.0,0,,,,,2305.972857421792,1.6847993516081616,-0.9326608659331518,1.032234309708575,-0.5949302676107746,0.525870001702368,0.7172193603867982,0.7982339881975088,0.680441116762225
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,559.0731270921864,0.4084723022627376,4.257784994122013e-05,0.14946447071619037,0.9062501561921633,0.07614441869516711,0.17388672608697625,0.25169866272501923,0.1672432691690542
