Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,10.0,336,262.1289081268051,0.19145445933940028,-0.0008606418050854022,0.07915430650617941,0.9794104136147636,0.4833404733622769,0.657349879024085,0.785451671828996,0.6420473414051194
Persistence_P,PAC,1.0,0.5,0,1m,,336,398.7661920862707,0.29125198839868577,-0.0007608649071733448,0.1637651114866416,0.9523509279103761,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,10.0,336,332.89926474435566,0.24314391419691342,0.001267755797412853,0.10172640323472835,0.9667919436524369,0.34541583886178545,0.48372083316450476,0.6033325882143888,0.47748975341355965
Persistence_P,PAC,1.0,1.0,0,1m,,336,688.2053488714276,0.5026533850243008,-0.006781860974937274,0.29450416509543187,0.858076643792643,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,10.0,336,441.0275901432506,0.32211898881365786,0.00013660673490532377,0.13834908851167338,0.9417160061274081,0.19545417303179832,0.272746787690993,0.341386503972854,0.2698624882318818
Persistence_P,PAC,1.0,3.0,0,1m,,336,1616.9854606790475,1.1810184513652306,-0.1172442283694906,0.7078338945936213,0.21651621054777448,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,10.0,336,495.6829620144417,0.36203833516263356,0.003466584726290236,0.1572391185322909,0.9263749219985323,0.15416733059536775,0.21702130743187337,0.27260414433041996,0.21459759411922033
Persistence_P,PAC,1.0,6.0,0,1m,,336,2284.029010239213,1.6682156210688366,-0.47620821558901616,1.0199250251337972,-0.5632232899603895,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,10.0,336,497.1854826428767,0.3631357504634448,0.0028443034128578007,0.1583725656855986,0.9259278989285659,0.15343465013718324,0.21552156860995395,0.2709383972478847,0.21329820533167396
Persistence_P,PAC,1.0,10.0,0,1m,,336,2306.8943208309315,1.6849160518158612,-0.932769713324997,1.0321825320682156,-0.5946786695511452,1.0,1.0,1.0,1.0
