Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,10.0,336,371.1563874355618,0.1352225857448605,-0.0007173151012995182,0.07902221104135622,0.9527564064422511,0.48288757334206195,0.657334181296368,0.7854512955701362,0.6418910167361886
Persistence_P,PAC,1.0,0.5,0,1m,,336,564.6388062516118,0.20571360746550554,-0.0006175238903751921,0.16364515345558384,0.8906621594252359,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,10.0,336,471.36984507960017,0.17173313312541072,0.0014113878201817286,0.10159754574086001,0.9238004092966569,0.3450968875710216,0.48371117266607777,0.6033323625499616,0.4773801409290203
Persistence_P,PAC,1.0,1.0,0,1m,,336,974.4861638848329,0.3550323888093524,-0.006639383671006423,0.2944029616029239,0.6743280151140731,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,10.0,336,624.481519726194,0.22751597091109418,0.0002800764941568123,0.13822548454797726,0.8662578722406064,0.19529111349914735,0.27274303758353624,0.3413864309185034,0.26980686066706233
Persistence_P,PAC,1.0,3.0,0,1m,,336,2289.6332212877355,0.8341770075117322,-0.11711759691016711,0.7077919833181797,-0.797880749437242,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,10.0,336,701.8740198037242,0.25571220929473204,0.0036105321714273515,0.15711822434648012,0.8310542073293854,0.15404836646440523,0.2170188756231279,0.2726041010778459,0.2145571143884597
Persistence_P,PAC,1.0,6.0,0,1m,,336,3234.1611658821294,1.1782947845458311,-0.47613307757216794,1.0199278833819003,-2.5871733354980195,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,10.0,336,704.001599404351,0.25648734566504366,0.0029881615916390785,0.15825183409296673,0.8300284095284944,0.15331699711507377,0.2155191665468474,0.27093835454054493,0.21325817273415537
Persistence_P,PAC,1.0,10.0,0,1m,,336,3266.5382419772964,1.1900906530709463,-0.9327600691294154,1.0321871486576863,-2.6593549775166507,1.0,1.0,1.0,1.0
