Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,336,246.4281725048014,0.17998691128747984,0.0012954442850391073,0.07011500304560042,0.981803054344899,0.4281437139394598,0.617976592287162,0.7593351706370747,0.6018184922878987
Persistence_P,PAC,1.0,0.5,0,1y,,336,398.7661920862707,0.29125198839868577,-0.0007608649071733448,0.1637651114866416,0.9523509279103761,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,309.5787990728044,0.22611104598487308,0.000969406988407434,0.09101743646968902,0.9712816021480991,0.3090531383153631,0.44983492148161247,0.5741698115042531,0.44435262376707624
Persistence_P,PAC,1.0,1.0,0,1y,,336,688.2053488714276,0.5026533850243008,-0.006781860974937274,0.29450416509543187,0.858076643792643,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,100.0,336,414.3637754221429,0.30264419578973806,-0.0005420426028514735,0.12909323293954644,0.9485504775257902,0.18237786283695967,0.2562569580855305,0.3219009939080144,0.2535119382768349
Persistence_P,PAC,1.0,3.0,0,1y,,336,1616.9854606790475,1.1810184513652306,-0.1172442283694906,0.7078338945936213,0.21651621054777448,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,100.0,336,464.16809884250955,0.3390204195391546,0.0011495847589281418,0.1487345964379064,0.935439280221323,0.1458289509254809,0.2032233814726792,0.2548717180256913,0.2013080168079505
Persistence_P,PAC,1.0,6.0,0,1y,,336,2284.029010239213,1.6682156210688366,-0.47620821558901616,1.0199250251337972,-0.5632232899603895,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,470.3288460202729,0.34352012362930723,-0.00030574963428435737,0.1511651214530453,0.933714121500068,0.14645192759671213,0.20387966703687704,0.25564717898819234,0.20199292454059384
Persistence_P,PAC,1.0,10.0,0,1y,,336,2306.8943208309315,1.6849160518158612,-0.932769713324997,1.0321825320682156,-0.5946786695511452,1.0,1.0,1.0,1.0
