Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,GHI,1.0,0.5,53,425.8040570400449,1.6678057583220032,-0.8748212404204478,0.9156195000838914,-0.39550655010345914,4.8978417834951085,4.295762928371968,3.2655933854823416,4.153066032449806
BLEND_opti,GHI,1.0,0.5,0,426.125370789376,1.6690642924118089,-0.9011719979332922,0.9111499541583437,-0.3976134563908509,4.873933239841994,4.299004531334485,3.265818884054019,4.146252218410166
Persistence_P,GHI,1.0,0.5,0,426.7806513307136,1.6716309205171311,-0.9192154285939801,0.9226759491687735,-0.4019151625542403,4.935588217650207,4.305615388630513,3.2666990399780547,4.169300882086258
Persistence_Pcyclic,GHI,1.0,0.5,0,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,4.86556509332689,4.310570905910951,3.270663831271156,4.148933276836332
AR_OLS,GHI,1.0,1.0,53,426.5115071254539,1.6705767261102682,-0.8677292784816305,0.9316137564613619,-0.40014751743857735,2.853028475345384,2.9015413010637467,2.6629266252755674,2.8058321338948993
BLEND_opti,GHI,1.0,1.0,0,426.79293367451345,1.6716790284751846,-0.8977654841831423,0.9138374674865335,-0.40199585530224313,2.798589327920389,2.9034558350016835,2.6640287283485793,2.7886912970902173
Persistence_P,GHI,1.0,1.0,0,430.04983200040095,1.6844357734905888,-0.9484237310561786,0.9517029734869595,-0.42347503168865885,2.9145508689595885,2.925612388454644,2.6681196699889114,2.8360943091343813
Persistence_Pcyclic,GHI,1.0,1.0,0,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,2.785568110782172,2.906713894279451,2.6663377616478323,2.786206588903152
AR_OLS,GHI,1.0,3.0,53,427.3011220865863,1.6735998659314149,-0.8542701235988307,0.9388411618001598,-0.40519204288913646,1.1059028634879975,1.2715886549682407,1.336253659326758,1.2379150592609987
BLEND_opti,GHI,1.0,3.0,0,427.205284676052,1.6732245018868783,-0.8912250910674241,0.911751245883839,-0.4045617854080348,1.073992443704033,1.2713034561759653,1.3370114102902815,1.2274357700567597
Persistence_P,GHI,1.0,3.0,0,441.175294407671,1.727940497716069,-0.9868435401657701,1.0029184408260836,-0.4979247053914051,1.1813823473906988,1.3128762603796553,1.3563064466688142,1.2835216848130562
Persistence_Pcyclic,GHI,1.0,3.0,0,427.2921635530461,1.6735647782619547,-0.8821214814572538,0.9095790176256782,-0.4051331227158208,1.0714336791881658,1.2715619956195379,1.3372470419104991,1.226747572239401
AR_OLS,GHI,1.0,6.0,53,427.2194457493546,1.6730073646471793,-0.8609816636886393,0.9334620824384261,-0.40452360874503324,0.6240948323402848,0.7991866727648052,0.8736300298163096,0.7656371783071331
BLEND_opti,GHI,1.0,6.0,0,427.2477082821977,1.6731180417852651,-0.8911631225782509,0.911772742217007,-0.4047094462954193,0.6095937557526873,0.7992395426418942,0.8741079447270619,0.7609804143738811
Persistence_P,GHI,1.0,6.0,0,465.0309366064676,1.8210785802756762,-0.8371437504264483,1.1558308250778413,-0.6641432606425182,0.7727663057361205,0.8699195007552751,0.9108653207686812,0.8511837090866923
Persistence_Pcyclic,GHI,1.0,6.0,0,427.3287194152152,1.6734352844190101,-0.8821204845863235,0.9095782529566788,-0.4052421952849423,0.6081265623521589,0.7993910877517839,0.8742515491597597,0.7605897330879009
AR_OLS,GHI,1.0,10.0,53,427.22662593089484,1.6726573640554891,-0.8623061700053092,0.9326120522621719,-0.4044073821518719,0.4804913920047624,0.6892057235425441,0.7842209427939861,0.6513060194470975
BLEND_opti,GHI,1.0,10.0,0,427.2965341903823,1.6729310655477247,-0.8911885058356638,0.9118153474652503,-0.40486703378612043,0.4697767142212761,0.689318500157196,0.7846681452906031,0.6479211198896917
Persistence_P,GHI,1.0,10.0,0,578.5665539318165,2.2651762514136835,-0.32697161856997853,1.665576649984615,-1.5756279501333461,0.8581223469078233,0.9333486169108597,0.9610384778845444,0.9175031472344092
Persistence_Pcyclic,GHI,1.0,10.0,0,427.3775568223868,1.673248281502564,-0.8821221778148948,0.9095799616426561,-0.40539985728105776,0.46862502028491676,0.6894492065746443,0.7847970501875647,0.6476237590157086
