Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,GHI,1.0,0.5,53,38.427878876514306,0.6372824045075456,0.06268192862116076,0.2836673514736169,0.942097570473087,0.8256421960789342,0.6851036411091657,0.8249062440492801,0.7785506937457933
BLEND_opti,GHI,1.0,0.5,0,45.00616062200489,0.7463756808178461,-0.16101795391827448,0.24572396794613086,0.9205767065596473,0.7152041835986277,0.8023832024026709,0.8665802076191077,0.7947225312068021
Persistence_P,GHI,1.0,0.5,0,56.090606691712416,0.9301985367875164,-0.31419432152124993,0.3435717709448286,0.8766371951101244,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.676550157544983,1.1257678824212722,1.370736200597648,1.0576847468546344
AR_OLS,GHI,1.0,1.0,53,51.82356263213589,0.8594344931314792,0.12288782789803233,0.419447632977925,0.8946926967758091,0.7109386440047832,0.5536206784775876,0.6422653002304352,0.6356082075709354
BLEND_opti,GHI,1.0,1.0,0,56.27767545961802,0.933300858271412,-0.1320989854443667,0.26853911531129343,0.8758129640282935,0.4551577348195518,0.6012030684238411,0.74930188679301,0.6018875633454677
Persistence_P,GHI,1.0,1.0,0,93.60843018842166,1.5523887140466919,-0.562152803427707,0.5899913255736636,0.6564152457951212,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.39397788693710345,0.6745653504919461,0.9075304393614222,0.6586912255968239
AR_OLS,GHI,1.0,3.0,53,63.26642157362327,1.0492012165071103,0.23705699415484727,0.48084105731877225,0.8430539094111021,0.46921679104645075,0.37701769326552836,0.4222003409616871,0.42281160842455545
BLEND_opti,GHI,1.0,3.0,0,61.9552970788971,1.0274577168647583,-0.0766425855383485,0.25088292668055656,0.8494915622294806,0.24481786651457174,0.36920443118604823,0.4787101165003745,0.3642441380669981
Persistence_P,GHI,1.0,3.0,0,167.8075663389771,2.782896493317019,-0.8883187781519267,1.0247737644818655,-0.10414735993383961,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.22682424532819503,0.37629413796216094,0.49381944759911756,0.3656459436298245
AR_OLS,GHI,1.0,6.0,53,61.64507428718048,1.0223130268007163,0.1800747737427727,0.43518445051789406,0.8509950414764382,0.18735421784817732,0.23065981732733465,0.3029435694503174,0.2403192015419431
BLEND_opti,GHI,1.0,6.0,0,62.03645585552737,1.0288036423186204,-0.07612436671172838,0.2510717360836217,0.8490969847882072,0.10809060085155033,0.23212426525126154,0.3413391331232442,0.22718466640868537
Persistence_P,GHI,1.0,6.0,0,267.2553676728987,4.432124496786228,0.38242592284856824,2.3227897162718065,-1.8006370730025218,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.10007084762447463,0.236272161973332,0.3513386991470824,0.22922723624829633
AR_OLS,GHI,1.0,10.0,53,61.0779070937148,1.0124649143223468,0.16885363902008904,0.42795804327257886,0.8537826021828243,0.0643551868669914,0.10989185769958632,0.16432243990728998,0.11285649482462257
BLEND_opti,GHI,1.0,10.0,0,62.0506365743001,1.0285894758386493,-0.07632236734135829,0.251419239155895,0.8490881861259381,0.03780775328839615,0.1116420003411254,0.1862883457722164,0.11191269980057932
Persistence_P,GHI,1.0,10.0,0,555.8001145151696,9.213284182438187,4.713194794774847,6.649938631319304,-11.107877556988347,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,63.15946920263007,1.0469701667538993,0.0006397630608127424,0.23244352431483342,0.8436464668242968,0.03495423600153107,0.11363702085186642,0.19174542453166607,0.11344556046168786
