Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,GHI,1.0,0.5,0,426.6661044414781,1.6711822588421044,-0.8884637320665588,0.9081458902919759,-0.40116272230172445,4.857863868751016,4.304459771927942,3.2680784776807945,4.143467372786584
Persistence_P,GHI,1.0,0.5,0,426.7806513307136,1.6716309205171311,-0.9192154285939801,0.9226759491687735,-0.4019151625542403,4.935588217650207,4.305615388630513,3.2666990399780547,4.169300882086258
Persistence_Pcyclic,GHI,1.0,0.5,0,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,4.86556509332689,4.310570905910951,3.270663831271156,4.148933276836332
BLEND_corre,GHI,1.0,1.0,0,426.8865692896165,1.6720457840649234,-0.8952057322033291,0.9127168311408947,-0.40261110046943904,2.795157425608471,2.9040928344728187,2.664618695829696,2.787956318636995
Persistence_P,GHI,1.0,1.0,0,430.04983200040095,1.6844357734905888,-0.9484237310561786,0.9517029734869595,-0.42347503168865885,2.9145508689595885,2.925612388454644,2.6681196699889114,2.8360943091343813
Persistence_Pcyclic,GHI,1.0,1.0,0,427.2718514732555,1.6735548721861564,-0.8821300416382948,0.909585583877007,-0.40514406811591064,2.785568110782172,2.906713894279451,2.6663377616478323,2.786206588903152
BLEND_corre,GHI,1.0,3.0,0,429.17223923034936,1.680928424737093,-0.9253793763385861,0.9436353612017645,-0.4175254325559399,1.111550164716462,1.2771568391108594,1.33782265939835,1.2421765544085572
Persistence_P,GHI,1.0,3.0,0,441.175294407671,1.727940497716069,-0.9868435401657701,1.0029184408260836,-0.4979247053914051,1.1813823473906988,1.3128762603796553,1.3563064466688142,1.2835216848130562
Persistence_Pcyclic,GHI,1.0,3.0,0,427.2921635530461,1.6735647782619547,-0.8821214814572538,0.9095790176256782,-0.4051331227158208,1.0714336791881658,1.2715619956195379,1.3372470419104991,1.226747572239401
BLEND_corre,GHI,1.0,6.0,0,437.3026719581228,1.7124936564686657,-0.85405459642259,1.0338335158068204,-0.47160508911313026,0.6912012462571394,0.8180490632404674,0.8789559807584874,0.796068763418698
Persistence_P,GHI,1.0,6.0,0,465.0309366064676,1.8210785802756762,-0.8371437504264483,1.1558308250778413,-0.6641432606425182,0.7727663057361205,0.8699195007552751,0.9108653207686812,0.8511837090866923
Persistence_Pcyclic,GHI,1.0,6.0,0,427.3287194152152,1.6734352844190101,-0.8821204845863235,0.9095782529566788,-0.4052421952849423,0.6081265623521589,0.7993910877517839,0.8742515491597597,0.7605897330879009
BLEND_corre,GHI,1.0,10.0,0,470.49433736426016,1.8420570497542752,-0.5964424355983241,1.2925581639090074,-0.7032770028937829,0.6659393580828057,0.759005573445359,0.8113301873359713,0.7454250396213787
Persistence_P,GHI,1.0,10.0,0,578.5665539318165,2.2651762514136835,-0.32697161856997853,1.665576649984615,-1.5756279501333461,0.8581223469078233,0.9333486169108597,0.9610384778845444,0.9175031472344092
Persistence_Pcyclic,GHI,1.0,10.0,0,427.3775568223868,1.673248281502564,-0.8821221778148948,0.9095799616426561,-0.40539985728105776,0.46862502028491676,0.6894492065746443,0.7847970501875647,0.6476237590157086
