Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,27000,1m,10.0,0.75,336,41.3138598754299,0.6826546405257573,0.03557578571041683,0.25854285501740143,0.9333240531800691,0.7539976381700497,0.7362069115099348,0.8228706409885088,0.7710250635561645
Persistence_P,GHI,1.0,0.5,0,1m,,,336,56.11718557585476,0.9272592118507231,-0.3136877491698215,0.3428961072675032,0.8769817878737316,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,1.0,27000,1m,10.0,0.5,336,50.98394159006783,0.8424394240503483,-0.035838657234036696,0.28125690076469245,0.8984582922916518,0.47747818141303716,0.5442751016915239,0.6616196108592668,0.5611242979879426
Persistence_P,GHI,1.0,1.0,0,1m,,,336,93.67311021874329,1.5478191477658545,-0.5613684864849593,0.5890466029931415,0.6572262720895583,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,3.0,27000,1m,100.0,0.5,336,62.266863471453306,1.0288741702648536,-0.037709564407597665,0.3546009508267862,0.848542206051083,0.34619954551444054,0.37039351096588474,0.4258043104958405,0.3807991223253886
Persistence_P,GHI,1.0,3.0,0,1m,,,336,168.11002792429704,2.777786704690997,-0.8886167770414145,1.0242675226504456,-0.10398935993331637,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,27000,1m,100.0,0.5,336,62.85331976669776,1.038564552926297,-0.0215571355221956,0.3638350629347506,0.8456757804670484,0.15713805541416076,0.23513443885793342,0.3048492751690125,0.23237392314703556
Persistence_P,GHI,1.0,6.0,0,1m,,,336,267.30801354315133,4.41689681005763,0.374855001594187,2.3153847868093385,-1.7912684338994946,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,10.0,27000,1m,100.0,0.5,336,62.98786133325356,1.0407876670344887,-0.020057157472861662,0.3619878446217293,0.845014391550067,0.054577772951054,0.11331699963442325,0.16682038168943905,0.11157171809163875
Persistence_P,GHI,1.0,10.0,0,1m,,,336,555.8553574173457,9.184744304845855,4.69564207336959,6.632514026293529,-11.069832377895008,1.0,1.0,1.0,1.0
