Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,25.0,1.0,336,37.69789858379054,0.6229058597741637,0.07668476133545228,0.26442245721971325,0.944484797199276,0.771144529247833,0.6717710126933132,0.7795911504676822,0.7408355641362762
Persistence_P,GHI,1.0,0.5,0,1y,,,336,56.11718557585476,0.9272592118507231,-0.3136877491698215,0.3428961072675032,0.8769817878737316,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,25.0,1.0,336,48.400097851725384,0.799744964522932,0.08768623062133586,0.3280223804231858,0.9084896689420209,0.556869997647716,0.5166914788961591,0.6361258009194507,0.5698957591544419
Persistence_P,GHI,1.0,1.0,0,1y,,,336,93.67311021874329,1.5478191477658545,-0.5613684864849593,0.5890466029931415,0.6572262720895583,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,1.0,336,61.02350880156578,1.0083294465867139,0.1396626971142415,0.4101341489034201,0.854530482494452,0.40041701980566224,0.36299743421044317,0.4152651293756573,0.3928931944639209
Persistence_P,GHI,1.0,3.0,0,1y,,,336,168.11002792429704,2.777786704690997,-0.8886167770414145,1.0242675226504456,-0.10398935993331637,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,25.0,1.0,336,62.444172092810796,1.0318039510585115,0.1574523222228478,0.4184865084839304,0.8476784076701789,0.18074166802340266,0.23360381630583057,0.3052935940887093,0.23987969280598084
Persistence_P,GHI,1.0,6.0,0,1y,,,336,267.30801354315133,4.41689681005763,0.374855001594187,2.3153847868093385,-1.7912684338994946,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,100.0,1.0,336,60.940352008477475,1.0069553950973555,0.12910835974977025,0.3927764552517112,0.8549266752621076,0.05921984540019251,0.10963347064175621,0.1635705526792208,0.11080795624038985
Persistence_P,GHI,1.0,10.0,0,1y,,,336,555.8553574173457,9.184744304845855,4.69564207336959,6.632514026293529,-11.069832377895008,1.0,1.0,1.0,1.0
