Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_l3,delta_l3,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,,45.00616062200489,0.7463756808178461,-0.16101795391827448,0.24572396794613086,0.9205767065596473,0.7152041835986277,0.8023832024026709,0.8665802076191077,0.7947225312068021
ELM,GHI,1.0,0.5,27000,500.0,100.0,10.0,500.0,40.80810574731386,0.6767557438602329,0.10702669736156893,0.29150142304242155,0.9347024581787083,0.8484440448666295,0.7275390329009117,0.8338780814063069,0.8032870530579493
Persistence_P,GHI,1.0,0.5,0,,,,,56.090606691712416,0.9301985367875164,-0.31419432152124993,0.3435717709448286,0.8766371951101244,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.676550157544983,1.1257678824212722,1.370736200597648,1.0576847468546344
BLEND_opti,GHI,1.0,1.0,0,,,,,56.27767545961802,0.933300858271412,-0.1320989854443667,0.26853911531129343,0.8758129640282935,0.4551577348195518,0.6012030684238411,0.74930188679301,0.6018875633454677
ELM,GHI,1.0,1.0,27000,500.0,100.0,10.0,500.0,51.31320292088817,0.8509707612405552,0.10610896444962996,0.36322618340501794,0.8967566214872127,0.6156466504856557,0.5481686085067481,0.659162418596961,0.6076592258631216
Persistence_P,GHI,1.0,1.0,0,,,,,93.60843018842166,1.5523887140466919,-0.562152803427707,0.5899913255736636,0.6564152457951212,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.39397788693710345,0.6745653504919461,0.9075304393614222,0.6586912255968239
BLEND_opti,GHI,1.0,3.0,0,,,,,61.9552970788971,1.0274577168647583,-0.0766425855383485,0.25088292668055656,0.8494915622294806,0.24481786651457174,0.36920443118604823,0.4787101165003745,0.3642441380669981
ELM,GHI,1.0,3.0,27000,500.0,100.0,10.0,500.0,65.68369067887048,1.089288858936816,0.1689251497309545,0.4771311558520877,0.83083167281899,0.4655965759362793,0.39142269989296635,0.43415246347096503,0.4303905797667369
Persistence_P,GHI,1.0,3.0,0,,,,,167.8075663389771,2.782896493317019,-0.8883187781519267,1.0247737644818655,-0.10414735993383961,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.22682424532819503,0.37629413796216094,0.49381944759911756,0.3656459436298245
BLEND_opti,GHI,1.0,6.0,0,,,,,62.03645585552737,1.0288036423186204,-0.07612436671172838,0.2510717360836217,0.8490969847882072,0.10809060085155033,0.23212426525126154,0.3413391331232442,0.22718466640868537
ELM,GHI,1.0,6.0,27000,500.0,100.0,10.0,500.0,68.70307966565785,1.1393619706957754,0.21412969300286194,0.5181971954389485,0.8149213297655927,0.22309259930368594,0.2570690357461612,0.3167191469827469,0.265626927344198
Persistence_P,GHI,1.0,6.0,0,,,,,267.2553676728987,4.432124496786228,0.38242592284856824,2.3227897162718065,-1.8006370730025218,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.10007084762447463,0.236272161973332,0.3513386991470824,0.22922723624829633
BLEND_opti,GHI,1.0,10.0,0,,,,,62.0506365743001,1.0285894758386493,-0.07632236734135829,0.251419239155895,0.8490881861259381,0.03780775328839615,0.1116420003411254,0.1862883457722164,0.11191269980057932
ELM,GHI,1.0,10.0,27000,500.0,100.0,10.0,500.0,70.18522550943555,1.1634334199283274,0.20747380872965035,0.5103258326139632,0.8069267283070796,0.07674143490745537,0.12627781764791263,0.18005133767789305,0.12769019674442036
Persistence_P,GHI,1.0,10.0,0,,,,,555.8001145151696,9.213284182438187,4.713194794774847,6.649938631319304,-11.107877556988347,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,,63.15946920263007,1.0469701667538993,0.0006397630608127424,0.23244352431483342,0.8436464668242968,0.03495423600153107,0.11363702085186642,0.19174542453166607,0.11344556046168786
