Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,27000,1m,10.0,336,426.11860816916516,1.6676737681444178,-0.8665889888634971,0.9202511617552243,-0.397870359651497,0.9977141381091147,0.9984044913792035,0.999666561292191,0.9985950635935031
Persistence_P,GHI,1.0,0.5,0,1m,,336,426.7995705633512,1.6703388081124122,-0.9189084195763805,0.9223595482963691,-0.4023416862830598,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,1.0,27000,1m,10.0,336,426.6664376275599,1.6698177740612377,-0.8658402373300507,0.9270500092089746,-0.4014669490062439,0.974361508077238,0.9920752673398289,0.9981323211030878,0.9881896988400515
Persistence_P,GHI,1.0,1.0,0,1m,,336,430.07466436657785,1.6831563380656807,-0.9481732657234175,0.951443587953689,-0.4239463108740886,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,3.0,27000,1m,50.0,336,427.63400261511936,1.673604472688788,-0.8603140567918365,0.9374447381678079,-0.4078304581326182,0.9347644490443445,0.9691830214653552,0.9853470788778222,0.963098183129174
Persistence_P,GHI,1.0,3.0,0,1m,,336,441.23142187175193,1.7268198427149328,-0.9868394574459912,1.0028673417417657,-0.49878301248766066,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,27000,1m,100.0,336,427.658872004035,1.6737018024620702,-0.858531525637168,0.9385137445412716,-0.4079942098504339,0.8122706607012566,0.9196811342659434,0.9592274852141737,0.8970597600604578
Persistence_P,GHI,1.0,6.0,0,1m,,336,465.0077685298797,1.8198718448193016,-0.8375532932746997,1.1554199726123626,-0.6646629488490261,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,10.0,27000,1m,100.0,336,428.0034010597583,1.6750501642974331,-0.8559406329417948,0.940459821330862,-0.4102637304781733,0.5646668839782882,0.739783986205318,0.8162590294768252,0.7069032998868104
Persistence_P,GHI,1.0,10.0,0,1m,,336,578.5518597870422,2.2642422592701856,-0.32702845286804255,1.6655126199450068,-1.5768579854038904,1.0,1.0,1.0,1.0
