Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,27000,1m,10.0,336,44.55192031911327,0.7361591301776176,0.12911366211274583,0.32505194261916476,0.9224627304385302,0.9479604338744572,0.7939086727521557,0.8281087070163848,0.8566592712143325
Persistence_P,GHI,1.0,0.5,0,1m,,336,56.11718557585476,0.9272592118507231,-0.3136877491698215,0.3428961072675032,0.8769817878737316,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,1.0,27000,1m,10.0,336,54.049702488791,0.893096900997944,0.13545066217548488,0.382593456481129,0.8858793431463288,0.649513051322331,0.5770033936374631,0.6659744466673317,0.6308302972090419
Persistence_P,GHI,1.0,1.0,0,1m,,336,93.67311021874329,1.5478191477658545,-0.5613684864849593,0.5890466029931415,0.6572262720895583,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,3.0,27000,1m,50.0,336,67.66336207946375,1.118043878165713,0.18222105910033232,0.4705684323200355,0.8211517092838801,0.4594194601644394,0.402494502647598,0.4426617011818808,0.43485855466463935
Persistence_P,GHI,1.0,3.0,0,1m,,336,168.11002792429704,2.777786704690997,-0.8886167770414145,1.0242675226504456,-0.10398935993331637,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,27000,1m,100.0,336,67.97770961886675,1.1232380383617913,0.19730737216198957,0.479615884182374,0.8194860777864423,0.2071430575663829,0.25430479512314796,0.3135175935893014,0.2583218154262774
Persistence_P,GHI,1.0,6.0,0,1m,,336,267.30801354315133,4.41689681005763,0.374855001594187,2.3153847868093385,-1.7912684338994946,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,10.0,27000,1m,100.0,336,72.19361042690134,1.1928999934364055,0.2192351899222552,0.49608635293850084,0.7964012204666454,0.07479612571821886,0.12987841074759518,0.18034469679460824,0.12833974442014076
Persistence_P,GHI,1.0,10.0,0,1m,,336,555.8553574173457,9.184744304845855,4.69564207336959,6.632514026293529,-11.069832377895008,1.0,1.0,1.0,1.0
