Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,25.0,336,425.7884919365186,1.6663818128740562,-0.872783752863063,0.913087453420767,-0.3957053241874873,0.9899474181269896,0.997631022389507,0.9995939344431211,0.9957241249865393
Persistence_P,GHI,1.0,0.5,0,1y,,336,426.7995705633512,1.6703388081124122,-0.9189084195763805,0.9223595482963691,-0.4023416862830598,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,25.0,336,426.3279352704526,1.6684929985396326,-0.8714838685461284,0.9206021353766143,-0.3992440805655877,0.9675845704700089,0.9912881892225772,0.9980315001525474,0.9856347532817112
Persistence_P,GHI,1.0,1.0,0,1y,,336,430.07466436657785,1.6831563380656807,-0.9481732657234175,0.951443587953689,-0.4239463108740886,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,336,427.1353220008006,1.67165281753166,-0.8653425621543998,0.9303040940250082,-0.40454892109383156,0.9276442210285454,0.9680528195132746,0.9851006532072316,0.9602658979163504
Persistence_P,GHI,1.0,3.0,0,1y,,336,441.23142187175193,1.7268198427149328,-0.9868394574459912,1.0028673417417657,-0.49878301248766066,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,25.0,336,427.2377398363071,1.6720536438142724,-0.8632406197608966,0.9312909714089259,-0.4052225629076436,0.8060194504889083,0.9187754888203645,0.959123822179317,0.8946395871628633
Persistence_P,GHI,1.0,6.0,0,1y,,336,465.0077685298797,1.8198718448193016,-0.8375532932746997,1.1554199726123626,-0.6646629488490261,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,100.0,336,427.1293993638077,1.6716296384773734,-0.8665896153669482,0.9282531867171122,-0.4045099705538173,0.5573378283664774,0.7382733148952779,0.815917041979674,0.7038427284138097
Persistence_P,GHI,1.0,10.0,0,1y,,336,578.5518597870422,2.2642422592701856,-0.32702845286804255,1.6655126199450068,-1.5768579854038904,1.0,1.0,1.0,1.0
