Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,25.0,336,37.69789858379054,0.6229058597741637,0.07668476133545225,0.264422457219713,0.944484797199276,0.7711445292478324,0.6717710126933132,0.7795911504676822,0.7408355641362759
Persistence_P,GHI,1.0,0.5,0,1y,,336,56.11718557585476,0.9272592118507231,-0.3136877491698215,0.3428961072675032,0.8769817878737316,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,25.0,336,48.400097851725384,0.799744964522932,0.08768623062133585,0.3280223804231858,0.9084896689420209,0.556869997647716,0.5166914788961591,0.6361258009194508,0.569895759154442
Persistence_P,GHI,1.0,1.0,0,1y,,336,93.67311021874329,1.5478191477658545,-0.5613684864849593,0.5890466029931415,0.6572262720895583,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,336,61.02350880156577,1.0083294465867136,0.13966269711424173,0.4101341489034202,0.8545304824944521,0.40041701980566236,0.3629974342104431,0.4152651293756571,0.39289319446392085
Persistence_P,GHI,1.0,3.0,0,1y,,336,168.11002792429704,2.777786704690997,-0.8886167770414145,1.0242675226504456,-0.10398935993331637,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,25.0,336,62.444172092810824,1.0318039510585122,0.15745232222284783,0.41848650848393065,0.8476784076701788,0.1807416680234028,0.23360381630583069,0.3052935940887095,0.23987969280598098
Persistence_P,GHI,1.0,6.0,0,1y,,336,267.30801354315133,4.41689681005763,0.374855001594187,2.3153847868093385,-1.7912684338994946,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,100.0,336,60.94035200847746,1.0069553950973553,0.1291083597497702,0.39277645525171107,0.8549266752621076,0.0592198454001925,0.1096334706417562,0.1635705526792208,0.11080795624038982
Persistence_P,GHI,1.0,10.0,0,1y,,336,555.8553574173457,9.184744304845855,4.69564207336959,6.632514026293529,-11.069832377895008,1.0,1.0,1.0,1.0
