Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,GHI,1.0,0.5,0,109.24941626241015,0.7616201766500023,-0.0028918689243633932,0.35543129119158096,0.7700924452416336,1.5657876063985339,1.6712324061617885,1.6138980736985518,1.6169726954196246
Persistence_P,GHI,1.0,0.5,0,65.36023992354235,0.4556516563611401,-0.001094916406653295,0.22608992851680365,0.9177109085000353,0.9959978673130594,0.9998419650349873,0.9999934265352141,0.9986110862944203
Persistence_Pcyclic,GHI,1.0,0.5,0,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.7904470351275603,1.9242216528250429,1.863439530471063,1.859369406141222
BLEND_corre,GHI,1.0,1.0,0,110.45604029826887,0.7700320221571078,-0.0046856716718834375,0.3618794679851336,0.7649858926686682,1.00694487571678,1.1786648870582024,1.2391459457162786,1.1415852361637535
Persistence_P,GHI,1.0,1.0,0,93.56031834043505,0.6522453722838828,-0.005562939650215017,0.35404415289870267,0.831384158687682,0.9851427811690117,0.9983724000251587,0.9997668329906175,0.994427338061596
Persistence_Pcyclic,GHI,1.0,1.0,0,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.1309047789318032,1.3422649501526953,1.4159335545291623,1.2963677612045537
BLEND_corre,GHI,1.0,3.0,0,116.44070188891983,0.8116606965922446,-0.0305791555120112,0.4028456770842541,0.7388472078619595,0.4884263028493978,0.6019011408001921,0.6790189160905762,0.5897821199133887
Persistence_P,GHI,1.0,3.0,0,186.9363044059659,1.3030568228390613,-0.08766698018074288,0.7375759395068033,0.3269112222669631,0.8942667371074541,0.9663045056724248,0.9852181762594467,0.9485964730131086
Persistence_Pcyclic,GHI,1.0,3.0,0,125.79465289929921,0.8768632784198341,-0.0016201007474411617,0.40642862346398667,0.695203899474063,0.492770411159624,0.6502532521564721,0.7455361239845161,0.629519929100204
BLEND_corre,GHI,1.0,6.0,0,133.84351140635295,0.9328087094267299,-0.16436618723265703,0.4830249138642259,0.6549875512553921,0.3408047251847782,0.43651021300311066,0.48955784595808727,0.4222909280486587
Persistence_P,GHI,1.0,6.0,0,267.7677800522861,1.866180248202736,-0.38487638927587026,1.0329034124309977,-0.38088260205304225,0.7287788963095081,0.8732838034346846,0.9237319114165821,0.8419315370535916
Persistence_Pcyclic,GHI,1.0,6.0,0,125.8054329881199,0.8767881412512679,-0.0016201007474411619,0.4064286234639867,0.6951831888436828,0.2867611821898827,0.4102952453471435,0.48282855989390266,0.39329499581030963
BLEND_corre,GHI,1.0,10.0,0,156.4933561037855,1.0904152412243007,-0.3889523996570593,0.5519549196979198,0.528401914870465,0.29577295152080446,0.4216217755206224,0.48641921238570257,0.40127131314237646
Persistence_P,GHI,1.0,10.0,0,277.8241531383051,1.9358246158471515,-0.8116403467433019,1.055467340576627,-0.4863470402968033,0.5655872960186963,0.7485091740955515,0.8218673284221957,0.7119879328454811
Persistence_Pcyclic,GHI,1.0,10.0,0,125.81981075193693,0.8766879483425589,-0.0016201007474411612,0.4064286234639867,0.6951555592422209,0.21779060074375506,0.3389816240487486,0.41090268920040124,0.32255830466430163
