Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,GHI,1.0,0.5,0,154.1238586099729,0.5403022281159664,-0.001975633586105474,0.3548390017391737,0.6224392563090795,1.5744117026989237,1.6716685862795126,1.6139176629473606,1.619999317308599
Persistence_P,GHI,1.0,0.5,0,92.19761612736467,0.3232113306133664,-0.00017702986192479574,0.2253787882361987,0.8648903185111405,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.800893501389667,1.924750984041473,1.863463282488691,1.8630359226399438
BLEND_corre,GHI,1.0,1.0,0,155.82630039075235,0.5462703702043408,-0.0037710846457953964,0.36129310371502243,0.6140521679450794,1.022188433540901,1.1806124980184989,1.2394368272792045,1.147412586279535
Persistence_P,GHI,1.0,1.0,0,131.9876764410728,0.46270081938077307,-0.004649158739229061,0.3534505888151061,0.7231058037122073,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.1483449396599255,1.3445001620787735,1.4162667220190994,1.3030372745859329
BLEND_corre,GHI,1.0,3.0,0,164.26072505629367,0.5758383973791636,-0.029688361818045864,0.4022969563628027,0.5711409718332554,0.5456096150376823,0.6228704672581385,0.6892059549462872,0.6192286790807028
Persistence_P,GHI,1.0,3.0,0,263.71570605902315,0.9244914113748096,-0.08682864406957685,0.737334799965023,-0.10539902606209695,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.5504734010993405,0.6729119589400023,0.7567213691959549,0.6600355764117659
BLEND_corre,GHI,1.0,6.0,0,188.79668164608856,0.6618525429759895,-0.1635983294595239,0.4825498692545649,0.4334531886885853,0.4671644404197532,0.49983486971189606,0.5299777878003438,0.498992365977331
Persistence_P,GHI,1.0,6.0,0,377.718108692398,1.3241423979833182,-0.38431115670782945,1.0329336471350168,-1.267684851716199,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.3929421761130745,0.4698145211564082,0.5226928797668852,0.46181652567878934
BLEND_corre,GHI,1.0,10.0,0,220.72308801762333,0.7737749192638086,-0.3883909125050209,0.5515432143643542,0.22564053144804275,0.5225330622925856,0.5632712861364464,0.5918460721194272,0.5592168068494864
Persistence_P,GHI,1.0,10.0,0,391.859293115388,1.373716250603213,-0.8114672644413556,1.0555183091084956,-1.4406605843425382,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.38453449038554555,0.45286013496474226,0.49996181780831656,0.4457854810528681
