Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,GHI,1.0,0.5,27000,1m,25.0,1.0,none,0.0,0.0,90.89388814606372,0.6348316502101309,0.003368648645581135,0.3320689217112094,0.8406388890840146,1.4627015322029162,1.3918434638909614,1.2985984245834636,1.3843811402257804
Persistence_P,GHI,1.0,0.5,0,1m,,,none,0.0,0.0,65.30467721705266,0.4561085112512799,-9.443019158111103e-05,0.2270243890502348,0.9177375651383702,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,1.0,27000,1m,25.0,1.0,none,0.0,0.0,90.57003364829839,0.6325697480136493,0.0022829099786560235,0.3311472418878858,0.8417724717886307,0.9213278303944499,0.9674348609041382,0.9829220235820317,0.9572282382935399
Persistence_P,GHI,1.0,1.0,0,1m,,,none,0.0,0.0,93.61874096996475,0.6538628837733498,-0.00018287291651953162,0.3594238999012014,0.830940890137831,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,3.0,27000,1m,25.0,1.0,none,0.0,0.0,90.5598808916444,0.6324988379514626,-0.0012040900138705134,0.3312749195799215,0.8418079439086066,0.40161552989723603,0.4686187444130918,0.5170077615873119,0.4624140119658799
Persistence_P,GHI,1.0,3.0,0,1m,,,none,0.0,0.0,193.24852445896832,1.3497087888441544,-0.0004189027131719601,0.8248558507303911,0.2796470174718172,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,6.0,27000,1m,200.0,1.0,none,0.0,0.0,96.17312928038427,0.6717035392833794,-0.01932780646053679,0.3599000847365291,0.8215894712969177,0.2539184030949362,0.31401732041707947,0.34857086469215065,0.30550219606805545
Persistence_P,GHI,1.0,6.0,0,1m,,,none,0.0,0.0,306.26695735332885,2.1390652540796773,-0.00044744608930767383,1.4173847990134374,-0.809311208170213,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,10.0,27000,1m,200.0,1.0,none,0.0,0.0,96.35868051657377,0.6729994877775116,-0.022335681669315603,0.36098315827747235,0.820900375928685,0.19343527813861663,0.2599389935003879,0.29699127298785255,0.2501218482089524
Persistence_P,GHI,1.0,10.0,0,1m,,,none,0.0,0.0,370.6972902333331,2.5890670680638275,-0.0003840466203771333,1.866170234050017,-1.6506464744227318,1.0,1.0,1.0,1.0
