Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,GHI,1.0,0.5,27000,1m,25.0,1.0,none,0.0,0.0,128.0748655246455,0.44971002519070125,-0.002305201762714107,0.3260453659941563,0.7392920737814294,1.4464973670541907,1.3903714506888978,1.298398496947938,1.378422438230342
Persistence_P,GHI,1.0,0.5,0,1m,,,none,0.0,0.0,92.11557491430602,0.3234459575301838,-0.00017845140127163397,0.22540335946698029,0.8651370820751016,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,1.0,27000,1m,25.0,1.0,none,0.0,0.0,127.6115801499434,0.44808328854198953,-0.003532813782888087,0.32498771946789,0.741174780681717,0.9193816102843604,0.9677024928162764,0.9829837883167348,0.9566892971391239
Persistence_P,GHI,1.0,1.0,0,1m,,,none,0.0,0.0,131.87067419714828,0.46303827040679185,-0.004654953353584786,0.3534851206860368,0.723609653025939,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,3.0,27000,1m,25.0,1.0,none,0.0,0.0,127.60217521778148,0.44805026494862377,-0.007062259313579024,0.32507959965337513,0.7412129299456868,0.44086124547383077,0.48429503757229914,0.524684244607364,0.48328017588449795
Persistence_P,GHI,1.0,3.0,0,1m,,,none,0.0,0.0,263.480245136173,0.9251597274145836,-0.08686247145788895,0.7373739538025954,-0.10337346557727178,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,6.0,27000,1m,200.0,1.0,none,0.0,0.0,135.57544447033345,0.4760468519583318,-0.025669996603488236,0.35324776564887506,0.7078617039850319,0.3419824527570337,0.35925586577936075,0.37732682903860115,0.35952171585833187
Persistence_P,GHI,1.0,6.0,0,1m,,,none,0.0,0.0,377.37851315585186,1.3250913827825959,-0.38439752877067274,1.0329412015178596,-1.263501340847506,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,GHI,1.0,10.0,27000,1m,200.0,1.0,none,0.0,0.0,135.83286014341206,0.4769507171183728,-0.028677145681041176,0.3543380208899222,0.7067512909888332,0.3357040538081172,0.34694920132862234,0.3613370264369071,0.34799676052454886
Persistence_P,GHI,1.0,10.0,0,1m,,,none,0.0,0.0,391.50647882527994,1.3746989913564205,-0.8115052421102767,1.05550712560789,-1.4361516788034479,1.0,1.0,1.0,1.0
