Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,10.0,1.0,336,55.56211891648123,0.388063404045818,0.0029507934326316308,0.17641385582322708,0.9404515331118433,0.7801969934474627,0.8509483399381336,0.8739204809320164,0.8350219381058709
Persistence_P,GHI,1.0,0.5,0,1y,,,336,65.29435020758224,0.4560363841523345,-0.0010963706301933506,0.22611450352263696,0.9177635803584099,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,10.0,1.0,336,66.96691856811351,0.4677181303518044,0.004503861790444344,0.22393693864575934,0.9134965125219872,0.6324496628230195,0.7164818435869225,0.7767237243634771,0.7085517435911397
Persistence_P,GHI,1.0,1.0,0,1y,,,336,93.4663162333006,0.6527983012245886,-0.005568762781886489,0.3540786750461504,0.8314909469403797,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,0.75,336,86.90144046921533,0.6069471334536428,-0.015471838675697258,0.3095519949097088,0.8543310679818711,0.4196660413283358,0.46536902480483516,0.5070705501011593,0.4640352054114434
Persistence_P,GHI,1.0,3.0,0,1y,,,336,186.73662370558452,1.3042276152955867,-0.08770080755623927,0.7376150663272834,0.3273765719850448,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,50.0,1.0,336,98.59209006893475,0.6885983261663147,0.02104721622518906,0.36178908035916896,0.8125017872731575,0.3502616341624924,0.3686275771262778,0.3912761962864191,0.3700551358583964
Persistence_P,GHI,1.0,6.0,0,1y,,,336,267.4571740875503,1.868005458339399,-0.3849627029725141,1.0329109587586998,-0.3798169916488965,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,50.0,1.0,336,99.80974803371335,0.6971028343454533,0.020755623447915227,0.367014760639504,0.8078418079385035,0.3477309363017688,0.3597138976782845,0.3784754079636661,0.36197341398123983
Persistence_P,GHI,1.0,10.0,0,1y,,,336,277.46981330974234,1.9379368960854486,-0.8116782959547956,1.0554561654560417,-0.4850616033545039,1.0,1.0,1.0,1.0
