Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,10.0,1.0,336,78.38080833397268,0.2752189912200647,0.0038724317087233044,0.175657040514737,0.9023559253671998,0.7793008983101216,0.850896370205466,0.8739173017835318,0.8347048567663732
Persistence_P,GHI,1.0,0.5,0,1y,,,336,92.11557491430602,0.3234459575301838,-0.00017845140127163397,0.22540335946698029,0.8651370820751016,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,10.0,1.0,336,94.47593795614759,0.331733914098848,0.0054269272225374076,0.2232237935675676,0.8581370970677926,0.6314941719027363,0.7164287172362894,0.7767209010823274,0.7082145967404511
Persistence_P,GHI,1.0,1.0,0,1y,,,336,131.87067419714828,0.46303827040679185,-0.004654953353584786,0.3534851206860368,0.723609653025939,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,0.75,336,122.60685420125459,0.43051016501585704,-0.014567129448377044,0.30891752379376863,0.7610781234099484,0.4189428202619561,0.4653360411817151,0.5070688965009333,0.4637825859815348
Persistence_P,GHI,1.0,3.0,0,1y,,,336,263.480245136173,0.9251597274145836,-0.08686247145788895,0.7373739538025954,-0.10337346557727178,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,50.0,1.0,336,139.10367817391767,0.4884355596194163,0.021985483787597838,0.361202611296467,0.6924585586286702,0.34968361293527295,0.3686051890200486,0.39127520687951356,0.3698546696116117
Persistence_P,GHI,1.0,6.0,0,1y,,,336,377.37851315585186,1.3250913827825959,-0.38439752877067274,1.0329412015178596,-1.263501340847506,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,50.0,1.0,336,140.82191305528775,0.49446880781857827,0.021693623057931596,0.3664330935940062,0.6848140151792992,0.3471630694894354,0.359692420615428,0.37847447694679287,0.36177665568388545
Persistence_P,GHI,1.0,10.0,0,1y,,,336,391.50647882527994,1.3746989913564205,-0.8115052421102767,1.05550712560789,-1.4361516788034479,1.0,1.0,1.0,1.0
