Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,GHI,1.0,0.5,27000,6m,25.0,0.75,336,81.85731579552218,0.2874260722246373,-0.016479087862601917,0.1879223082863225,0.8935020085805959,0.8337156497166208,0.888637083052166,0.8969192530226747,0.8730906619304872
Persistence_P,GHI,1.0,0.5,0,6m,,,336,92.11557491430602,0.3234459575301838,-0.00017845140127163397,0.22540335946698029,0.8651370820751016,1.0,1.0,1.0,1.0
ELM_rolling_6m,GHI,1.0,1.0,27000,6m,25.0,0.5,336,99.6104809685484,0.34976286504086695,-0.037715003908263024,0.23748160171315924,0.8422982574479112,0.6718291317390099,0.7553649177498669,0.8042420108163442,0.7438120201017403
Persistence_P,GHI,1.0,1.0,0,6m,,,336,131.87067419714828,0.46303827040679185,-0.004654953353584786,0.3534851206860368,0.723609653025939,1.0,1.0,1.0,1.0
ELM_rolling_6m,GHI,1.0,3.0,27000,6m,25.0,0.5,336,130.46585256362496,0.4581055119798182,-0.057717621089102965,0.3269640570541631,0.7294670730675974,0.44341687873300667,0.49516369812164496,0.5372073275323346,0.4919293014623287
Persistence_P,GHI,1.0,3.0,0,6m,,,336,263.480245136173,0.9251597274145836,-0.08686247145788895,0.7373739538025954,-0.10337346557727178,1.0,1.0,1.0,1.0
ELM_rolling_6m,GHI,1.0,6.0,27000,6m,25.0,0.5,336,147.097561817443,0.5165045300608456,-0.06291201300145806,0.37112116321726846,0.6560958897252562,0.3592858554503615,0.38978785672594407,0.4144490905306955,0.387840934235667
Persistence_P,GHI,1.0,6.0,0,6m,,,336,377.37851315585186,1.3250913827825959,-0.38439752877067274,1.0329412015178596,-1.263501340847506,1.0,1.0,1.0,1.0
ELM_rolling_6m,GHI,1.0,10.0,27000,6m,25.0,0.25,336,155.3453930201141,0.5454651880535579,-0.08760320346716538,0.3899668040229828,0.6164489514516436,0.3694591865482596,0.3967888181218096,0.4195084866312426,0.395252163767104
Persistence_P,GHI,1.0,10.0,0,6m,,,336,391.50647882527994,1.3746989913564205,-0.8115052421102767,1.05550712560789,-1.4361516788034479,1.0,1.0,1.0,1.0
