Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,,85.90809082668049,0.3011625409944208,-0.013200361354540356,0.20251824603319346,0.8826953518075831,0.8985683507223085,0.9317821266441897,0.9441300667175669,0.9248268480280216
ELM,GHI,1.0,0.5,27000,500.0,100.0,10.0,1.25,78.71385756368433,0.27594217409834243,0.009541329803141485,0.17270410617775037,0.9015196736185709,0.7662837640104584,0.8537515487921786,0.889863331774675,0.8366328815257708
Persistence_P,GHI,1.0,0.5,0,,,,,92.19761612736467,0.3232113306133664,-0.00017702986192479574,0.2253787882361987,0.8648903185111405,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.800893501389667,1.924750984041473,1.863463282488691,1.8630359226399438
BLEND_opti,GHI,1.0,1.0,0,,,,,109.99915854719877,0.38561706792154776,-0.030175619064385907,0.27078892374347596,0.8076793969734684,0.7661295024327393,0.8334047656055903,0.873532284600457,0.8243555175462621
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,1.25,95.62419200788698,0.33522366017578514,0.011511230592652334,0.22231929560074307,0.8546608408844025,0.6289968177618194,0.7244933359409454,0.7898021198892027,0.7144307578639891
Persistence_P,GHI,1.0,1.0,0,,,,,131.9876764410728,0.46270081938077307,-0.004649158739229061,0.3534505888151061,0.7231058037122073,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,1.1483449396599255,1.3445001620787735,1.4162667220190994,1.3030372745859329
BLEND_opti,GHI,1.0,3.0,0,,,,,148.13446360359708,0.519305586219005,-0.060345186459728285,0.3623381292155159,0.6512137910104279,0.49141601513003885,0.5617202927247821,0.6202482581628485,0.5577948553392232
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,1.25,123.91636394974664,0.43440573150654843,0.029825285818482854,0.30760977943023815,0.755935615345849,0.41719145691323706,0.46988617326422144,0.519129593436161,0.46873574120453987
Persistence_P,GHI,1.0,3.0,0,,,,,263.71570605902315,0.9244914113748096,-0.08682864406957685,0.737334799965023,-0.10539902606209695,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.5504734010993405,0.6729119589400023,0.7567213691959549,0.6600355764117659
BLEND_opti,GHI,1.0,6.0,0,,,,,167.37221133187538,0.5867461373138572,-0.08482846898782241,0.3995625260735266,0.5547398848413174,0.38682303280735225,0.44311407761542654,0.4889974139882874,0.4396448414703554
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,1.25,139.27775905176242,0.48825719925102234,0.04443027867158784,0.3499248540593557,0.6916736604281822,0.3387679886601819,0.36873466176647074,0.39917085807233577,0.36889116949966283
Persistence_P,GHI,1.0,6.0,0,,,,,377.718108692398,1.3241423979833182,-0.38431115670782945,1.0329336471350168,-1.267684851716199,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.3929421761130745,0.4698145211564082,0.5226928797668852,0.46181652567878934
BLEND_opti,GHI,1.0,10.0,0,,,,,172.22107697604645,0.6037444978208466,-0.0953464227126212,0.4071408174770735,0.5285673169550817,0.38572596416726285,0.439497237916299,0.48250993506563566,0.4359110457163992
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,1.25,142.1300225999125,0.49825619852432323,0.048558399777384686,0.3585659426334122,0.6789159470616368,0.3397060378197149,0.36270678046178295,0.3893211931346168,0.3639113371387049
Persistence_P,GHI,1.0,10.0,0,,,,,391.859293115388,1.373716250603213,-0.8114672644413556,1.0555183091084956,-1.4406605843425382,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,,177.45745236742312,0.6221013266514307,-0.0007026967907461323,0.40588319508564813,0.4994637093521783,0.38453449038554555,0.45286013496474226,0.49996181780831656,0.4457854810528681
