Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,GHI,1.0,0.5,27000,1m,10.0,336,97.44881609536309,0.3421725985151765,5.398494731422671e-05,0.23174418953732512,0.8490686166780179,1.0281310362247449,1.0578972794342163,1.0319855680524541,1.0393379612371383
Persistence_P,GHI,1.0,0.5,0,1m,,336,92.11557491430602,0.3234459575301838,-0.00017845140127163397,0.22540335946698029,0.8651370820751016,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,1.0,27000,1m,10.0,336,111.43653576780605,0.3912877604986519,-0.0027966534382191073,0.2710275545694059,0.8026297808331624,0.7667297396942794,0.8450441043564171,0.884666779691025,0.8321468745805737
Persistence_P,GHI,1.0,1.0,0,1m,,336,131.87067419714828,0.46303827040679185,-0.004654953353584786,0.3534851206860368,0.723609653025939,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,3.0,27000,1m,100.0,336,137.1518563306726,0.4815821161533788,-0.0008666664548831456,0.3541238012753513,0.7010284946435635,0.48024994570143836,0.5205394289040121,0.5576234701355769,0.5194709482470091
Persistence_P,GHI,1.0,3.0,0,1m,,336,263.480245136173,0.9251597274145836,-0.08686247145788895,0.7373739538025954,-0.10337346557727178,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,6.0,27000,1m,100.0,336,153.03307241100762,0.5373459231602432,-0.0028681443971822545,0.39414904973172643,0.6277823069290371,0.3815793669112458,0.4055161252591166,0.4286524416617403,0.4052493112773676
Persistence_P,GHI,1.0,6.0,0,1m,,336,377.37851315585186,1.3250913827825959,-0.38439752877067274,1.0329412015178596,-1.263501340847506,1.0,1.0,1.0,1.0
ELM_rolling_1m,GHI,1.0,10.0,27000,1m,100.0,336,153.47833888764217,0.5389093899466703,-0.0012519848855831765,0.39660010812037133,0.6256131395493892,0.3757436577152054,0.3920199209682451,0.41107978379748045,0.3929477874936436
Persistence_P,GHI,1.0,10.0,0,1m,,336,391.50647882527994,1.3746989913564205,-0.8115052421102767,1.05550712560789,-1.4361516788034479,1.0,1.0,1.0,1.0
