Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,GHI,1.0,0.5,27000,1y,10.0,336,78.38080833397268,0.2752189912200647,0.003872431708723217,0.175657040514737,0.9023559253671998,0.7793008983101216,0.850896370205466,0.8739173017835318,0.8347048567663732
Persistence_P,GHI,1.0,0.5,0,1y,,336,92.11557491430602,0.3234459575301838,-0.00017845140127163397,0.22540335946698029,0.8651370820751016,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,1.0,27000,1y,10.0,336,94.47593795614758,0.33173391409884795,0.00542692722253737,0.22322379356756766,0.8581370970677926,0.6314941719027365,0.7164287172362893,0.7767209010823275,0.7082145967404511
Persistence_P,GHI,1.0,1.0,0,1y,,336,131.87067419714828,0.46303827040679185,-0.004654953353584786,0.3534851206860368,0.723609653025939,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,3.0,27000,1y,25.0,336,122.34133137201016,0.42957783315090387,0.01463404283040037,0.3121569522796866,0.7621118424409156,0.4233360165081924,0.4643282888581692,0.5049338214758481,0.4641993756140699
Persistence_P,GHI,1.0,3.0,0,1y,,336,263.480245136173,0.9251597274145836,-0.08686247145788895,0.7373739538025954,-0.10337346557727178,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,6.0,27000,1y,50.0,336,139.10367817391767,0.4884355596194163,0.02198548378759781,0.3612026112964669,0.6924585586286703,0.34968361293527284,0.3686051890200486,0.39127520687951356,0.3698546696116116
Persistence_P,GHI,1.0,6.0,0,1y,,336,377.37851315585186,1.3250913827825959,-0.38439752877067274,1.0329412015178596,-1.263501340847506,1.0,1.0,1.0,1.0
ELM_rolling_1y,GHI,1.0,10.0,27000,1y,50.0,336,140.82191305528775,0.49446880781857827,0.0216936230579316,0.3664330935940062,0.6848140151792992,0.3471630694894355,0.359692420615428,0.37847447694679287,0.36177665568388545
Persistence_P,GHI,1.0,10.0,0,1y,,336,391.50647882527994,1.3746989913564205,-0.8115052421102767,1.05550712560789,-1.4361516788034479,1.0,1.0,1.0,1.0
