Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_tikhonov,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,60.902984618483146,0.42457839584449425,-0.014106291841945071,0.2032503734132351,0.928551659741187,0.8953823807110426,0.9316575319899704,0.9441251580627641,0.9237216902545923
ELM,GHI,1.0,0.5,27000,500.0,100.0,10.0,55.846108049454514,0.3893249422557814,0.007902203971221575,0.17544404636686975,0.9399240265583142,0.7728866878791041,0.8543004505038634,0.8867350560789513,0.8379740648206395
Persistence_P,GHI,1.0,0.5,0,,,,65.36023992354235,0.4556516563611401,-0.001094916406653295,0.22608992851680365,0.9177109085000353,0.9959978673130594,0.9998419650349873,0.9999934265352141,0.9986110862944203
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.7904470351275603,1.9242216528250429,1.863439530471063,1.859369406141222
BLEND_opti,GHI,1.0,1.0,0,,,,77.976296661644,0.5436030952816014,-0.03106596543229093,0.271458375291554,0.8828775353554388,0.7553443733410765,0.8320769298784464,0.8733300059944213,0.8202504364046481
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,66.98067313733318,0.46694832661128166,0.010261349701787168,0.22273429045688914,0.9135800506058148,0.619767553187602,0.7147437779347455,0.7777661314166979,0.7040924875130151
Persistence_P,GHI,1.0,1.0,0,,,,93.56031834043505,0.6522453722838828,-0.005562939650215017,0.35404415289870267,0.831384158687682,0.9851427811690117,0.9983724000251587,0.9997668329906175,0.994427338061596
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.1309047789318032,1.3422649501526953,1.4159335545291623,1.2963677612045537
BLEND_opti,GHI,1.0,3.0,0,,,,105.0103782613883,0.731984567134974,-0.0612078356844394,0.3629235341009414,0.7876024563169378,0.440023090879256,0.5428159178539252,0.611080811061602,0.5313066065982611
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,88.0275568129298,0.6136042373761647,0.031783812165938403,0.3146215738791592,0.8507472503640637,0.38145985142175626,0.4550289203692783,0.5084286474371811,0.4483058064094052
Persistence_P,GHI,1.0,3.0,0,,,,186.9363044059659,1.3030568228390613,-0.08766698018074288,0.7375759395068033,0.3269112222669631,0.8942667371074541,0.9663045056724248,0.9852181762594467,0.9485964730131086
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,125.79465289929921,0.8768632784198341,-0.0016201007474411617,0.40642862346398667,0.695203899474063,0.492770411159624,0.6502532521564721,0.7455361239845161,0.629519929100204
BLEND_opti,GHI,1.0,6.0,0,,,,118.65631073902036,0.8269630624809575,-0.08566864135785575,0.4001137571361535,0.7288423858155016,0.28230564331049324,0.3869794727486102,0.45170306556444884,0.37366272720785076
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,98.61821421688066,0.687309591350506,0.04520247191938465,0.3566438431732367,0.8126928353186139,0.2516348607965666,0.3216282750017098,0.3662685655976579,0.31317723379864476
Persistence_P,GHI,1.0,6.0,0,,,,267.7677800522861,1.866180248202736,-0.38487638927587026,1.0329034124309977,-0.38088260205304225,0.7287788963095081,0.8732838034346846,0.9237319114165821,0.8419315370535916
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,125.8054329881199,0.8767881412512679,-0.0016201007474411619,0.4064286234639867,0.6951831888436828,0.2867611821898827,0.4102952453471435,0.48282855989390266,0.39329499581030963
BLEND_opti,GHI,1.0,10.0,0,,,,122.10747364681305,0.8508211060639322,-0.09617693908505254,0.40768509129634917,0.7128791598128372,0.21846389703301028,0.32897990767840385,0.396559593121336,0.3146677992775833
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,99.96935963679587,0.6965670372044555,0.04197153320794683,0.36507791981175025,0.8075517152551713,0.19563223376447766,0.26933577218302085,0.3134994719281978,0.2594891592918988
Persistence_P,GHI,1.0,10.0,0,,,,277.8241531383051,1.9358246158471515,-0.8116403467433019,1.055467340576627,-0.4863470402968033,0.5655872960186963,0.7485091740955515,0.8218673284221957,0.7119879328454811
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,125.81981075193693,0.8766879483425589,-0.0016201007474411612,0.4064286234639867,0.6951555592422209,0.21779060074375506,0.3389816240487486,0.41090268920040124,0.32255830466430163
