Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,100.0,0.0,1933.5552279326432,0.4059632094726967,0.0017542363028659961,0.28540137230235635,0.8039657195406905,1.1927232943710233,1.1693403862665237,1.1199325043278667,1.1606653949884713
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,100.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,100.0,0.0,2024.8339072917574,0.4251277955645433,0.0030384782074373254,0.30047757364093763,0.7850201923706337,0.7980046646911138,0.8430587410182536,0.8619229189685237,0.8343287748926304
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,100.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,100.0,0.0,2493.752646763503,0.5235805078055988,-0.01348270316114924,0.37898830125451777,0.6739189143147906,0.46932450454825647,0.5065628306184962,0.5392486273752124,0.5050453208473217
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,100.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,100.0,0.0,2481.4902501013967,0.5210059333466637,-0.01337555629713569,0.37585260077708754,0.6771178721016224,0.3409413366850627,0.36708349025009396,0.3918777390338669,0.3666341886563412
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,100.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,100.0,0.0,2485.7700276375267,0.5219045020553806,-0.014194310068829218,0.3774800159997128,0.6760031747423851,0.35124603497154827,0.37129330482374917,0.3931616321489901,0.3719003239814292
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,100.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
