Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,50.0,1.0,c1,10.0,0.0,1361.8265343014796,0.5690532355621799,0.005048700025342127,0.28487034084045204,0.8783969991237344,1.1890429019317201,1.161913681142474,1.1144459644046356,1.1551341824929433
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,10.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,50.0,1.0,c1,10.0,0.0,1424.5562894420125,0.5952655094675737,0.005677845584855715,0.29996709604996113,0.8669361951254692,0.7911238101909482,0.8363954436150459,0.8553229172467114,0.8276140570175685
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,10.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,100.0,1.0,c1,300.0,0.0,1747.730995284679,0.7303073869604033,-0.021564447829602363,0.3840444934913427,0.7997143264113967,0.4320248140818765,0.48577941123872237,0.5194918123221707,0.4790986792142566
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,300.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,100.0,1.0,c1,300.0,0.0,1740.0820370816366,0.7271111910393466,-0.02085661098199565,0.38131390805261983,0.801463593771236,0.252765877162366,0.31559705090456625,0.35172928220931793,0.3066974034254167
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,300.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,100.0,1.0,c1,300.0,0.0,1742.1630339609524,0.7279807570064812,-0.02053412226098589,0.38228445053771215,0.8009884429655917,0.1984490795194397,0.27184878875593327,0.31355492829814946,0.2612842655245075
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,300.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
