Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c2,PAC,1.0,0.5,27000,1m,50.0,1.0,c2,0.0,10.0,1920.7276985367978,0.4032699815121431,0.005003325009900645,0.28303837721241243,0.8065581401784331,1.1828480815592408,1.1615827861928911,1.1152701680915633,1.153233678614565
Persistence_P,PAC,1.0,0.5,0,1m,,,c2,0.0,10.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,1.0,27000,1m,50.0,1.0,c2,0.0,10.0,2009.7119015644091,0.4219528265282036,0.005072129177099289,0.2981041716722245,0.7882192562295828,0.7917014127736065,0.8367625509632279,0.8562688440716348,0.8282442692694897
Persistence_P,PAC,1.0,1.0,0,1m,,,c2,0.0,10.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,3.0,27000,1m,100.0,1.0,c2,0.0,300.0,2452.5587917805037,0.5149315748256335,-0.026549230159604476,0.37624766337107346,0.6846028866270999,0.46593060422854754,0.4981950096113252,0.5263110562968272,0.4968122233788999
Persistence_P,PAC,1.0,3.0,0,1m,,,c2,0.0,300.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,6.0,27000,1m,100.0,1.0,c2,0.0,300.0,2446.8827205036623,0.513739844649296,-0.025553593121936776,0.3741194594207308,0.6860610738160984,0.33936917906402,0.36196404529029585,0.38372128932287863,0.3616848378923982
Persistence_P,PAC,1.0,6.0,0,1m,,,c2,0.0,300.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_c2,PAC,1.0,10.0,27000,1m,100.0,1.0,c2,0.0,300.0,2448.3332362925635,0.5140443904086032,-0.025485194718036317,0.37515188966186735,0.6856887565502356,0.3490797079862234,0.365701464136186,0.3846401616860352,0.36647377793614816
Persistence_P,PAC,1.0,10.0,0,1m,,,c2,0.0,300.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
