Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,50.0,0.25,none,0.0,0.0,2,1588.7790090227647,0.3335750726579198,-0.049612627856849216,0.2156085727844905,0.8676433254756708,0.9010516142638353,0.9608328912793501,0.9813401956361664,0.9477415670597839
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,2,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,100.0,0.25,none,0.0,0.0,2,1889.476024368051,0.3967084777269606,-0.0802794259432411,0.26203227854224553,0.8128018159877904,0.6959021202235394,0.7867012067268677,0.8432052459015982,0.7752695242840018
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,2,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,50.0,0.25,none,0.0,0.0,2,2453.158202854693,0.5150574253004252,-0.1135406221748194,0.34981745932766733,0.6844487002111861,0.43320045826699577,0.4983167696306437,0.5481442386183945,0.493220488838678
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,2,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,25.0,0.75,none,0.0,0.0,2,2643.0029983193695,0.5549166449157504,-0.046000501116259536,0.3872466667050592,0.6337191848849903,0.3512770588796907,0.3909758522423748,0.4275607177802931,0.3899378763007862
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,2,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,25.0,0.75,none,0.0,0.0,2,2660.4037438677674,0.5585700510393492,-0.038994413745292784,0.391831480134385,0.6288803405278018,0.36460010580888724,0.397377909960936,0.4298056543935593,0.3972612233877942
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,2,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
