Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,50.0,0.25,48,1583.417538600132,0.33244939509318217,-0.047997102089080465,0.21549730692550673,0.8685351160195356,0.9005866221693419,0.9575904786477435,0.9771406222568577,0.9451059076913143
Persistence_P,PAC,1.0,0.5,0,1m,,,48,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,100.0,0.25,48,1888.590845732675,0.3965226283886109,-0.07370254273280087,0.2611226985928396,0.8129771715007496,0.6934864689197158,0.7863326542331402,0.8427994980467601,0.7742062070665386
Persistence_P,PAC,1.0,1.0,0,1m,,,48,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,50.0,0.25,48,2509.7233690993944,0.5269336707271504,-0.10795173569740824,0.3561207580974939,0.6697289025548698,0.44100622050919697,0.5098070073510967,0.5618343974534414,0.5042158751045783
Persistence_P,PAC,1.0,3.0,0,1m,,,48,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,25.0,0.75,48,2732.2607600604238,0.5736569254638735,-0.040117299145861124,0.39934439296031016,0.6085618499428209,0.3622510815465219,0.40417963199145046,0.44210243492781326,0.4028443828219286
Persistence_P,PAC,1.0,6.0,0,1m,,,48,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,25.0,0.75,48,2780.8492225755344,0.5838584071185083,-0.043490598176558336,0.4083472829305669,0.5945159789996912,0.37996809881685434,0.41536855243520693,0.4497170212023541,0.4150178908181384
Persistence_P,PAC,1.0,10.0,0,1m,,,48,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
