Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_c1,PAC,1.0,0.5,27000,1y,25.0,1.0,c1,100.0,0.0,2020.7375399375846,0.4242677350841104,-0.010399440448541424,0.2856628662291139,0.7858891480623725,1.1938161058570518,1.222064920286929,1.2030200903535622,1.2063003721658478
Persistence_P,PAC,1.0,0.5,0,1y,,,c1,100.0,0.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,1.0,27000,1y,25.0,1.0,c1,100.0,0.0,2150.2712991634094,0.45146423812199066,-0.013957180532640405,0.3121766091134961,0.7575593851482701,0.8290748199987594,0.8952857850672007,0.9292210556465701,0.88452722023751
Persistence_P,PAC,1.0,1.0,0,1y,,,c1,100.0,0.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,3.0,27000,1y,25.0,1.0,c1,100.0,0.0,2763.06977668494,0.5801254902552496,-0.02647295524829194,0.42083083761971307,0.5996843533012166,0.5211406888041646,0.5612699595890105,0.5934912660749334,0.5586339714893694
Persistence_P,PAC,1.0,3.0,0,1y,,,c1,100.0,0.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,6.0,27000,1y,25.0,1.0,c1,100.0,0.0,2774.5600314017743,0.582537948205826,-0.026119083552630654,0.4214431631664003,0.5963479969074865,0.38229719600091927,0.4104369058849845,0.43521152493477944,0.4093152089402277
Persistence_P,PAC,1.0,6.0,0,1y,,,c1,100.0,0.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,10.0,27000,1y,25.0,1.0,c1,100.0,0.0,2783.1152049763436,0.5843341656977059,-0.02622044372595709,0.42376209078589827,0.5938548902939416,0.394311613465422,0.41570701660723997,0.4382044767044734,0.4160743689257118
Persistence_P,PAC,1.0,10.0,0,1y,,,c1,100.0,0.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
