Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_c1,PAC,1.0,0.5,27000,1y,25.0,1.0,c1,10.0,0.0,1457.5864889938484,0.6090675183525582,-0.005191169860993991,0.2920939483572261,0.8606941429036981,1.219194090078651,1.2436163052727327,1.227550703336545,1.2301203662293096
Persistence_P,PAC,1.0,0.5,0,1y,,,c1,10.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,1.0,27000,1y,25.0,1.0,c1,10.0,0.0,1551.969300008853,0.6485063474814758,-0.007189010078387778,0.3185881788999712,0.8420691543326988,0.8402344700205439,0.9112030607553435,0.9501073585403802,0.9005149631054225
Persistence_P,PAC,1.0,1.0,0,1y,,,c1,10.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,3.0,27000,1y,25.0,1.0,c1,10.0,0.0,1995.7822542973186,0.8339581588987083,-0.023278886816917504,0.4263909073313556,0.7388277550253226,0.47966174645903137,0.5547249153725302,0.6003613440384872,0.5449160019566829
Persistence_P,PAC,1.0,3.0,0,1y,,,c1,10.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,6.0,27000,1y,25.0,1.0,c1,10.0,0.0,2006.2612891433155,0.8383369314769221,-0.021252611937501678,0.4272424017123874,0.7360779379603914,0.2832110189248199,0.36387373279224206,0.41027083881163673,0.3524518635095662
Persistence_P,PAC,1.0,6.0,0,1y,,,c1,10.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1y_c1,PAC,1.0,10.0,27000,1y,25.0,1.0,c1,10.0,0.0,2009.9568834732481,0.8398811736089439,-0.021716427522036404,0.42943008935416427,0.7351047375179052,0.2229230245447237,0.3136355975718055,0.3663982488298601,0.30098562364879644
Persistence_P,PAC,1.0,10.0,0,1y,,,c1,10.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
