Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,48,980.5864603288393,0.4097481462900182,-0.012170579997933355,0.1928191427516569,0.9369518288602986,0.8048231078356614,0.8366387312195818,0.8619247960275537,0.8344622116942656
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,0.75,none,0.0,0.0,48,1208.2140306864665,0.5048646696889446,-0.022113921645427175,0.24843550338577444,0.9042831366627435,0.6552160040664086,0.7093750648307146,0.7584143198436181,0.7076684629135803
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,0.75,none,0.0,0.0,48,1668.569800003888,0.6972290666524431,-0.0425341855875705,0.35814338254215455,0.8174467931497634,0.4028877665991496,0.4637766665713759,0.5123776358290997,0.45968068966654174
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,50.0,0.75,none,0.0,0.0,48,1887.3763099772852,0.7886596191686608,-0.05799858829366707,0.40889249110195736,0.7664296519943129,0.2710472054542231,0.3423116753592627,0.3900493644112592,0.334469415074915
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,0.75,none,0.0,0.0,48,1908.1201041516128,0.7973276270943485,-0.06219049319728974,0.4151832303272429,0.7612671826144418,0.21552728544008845,0.29774488897006834,0.3493717292817637,0.2875479678973068
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
