Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,48,1381.2556356694556,0.2900041141096156,-0.0191086736541877,0.18585706570442323,0.8999615425755854,0.7767168388183716,0.8353306775071848,0.861842161343685,0.8246298925564138
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,0.75,none,0.0,0.0,48,1701.894046641243,0.35732435224809755,-0.031097570773285645,0.23945387317407796,0.8481258366309594,0.6359386674215167,0.7085996768134366,0.7583822616147611,0.7009735352832381
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,0.75,none,0.0,0.0,48,2350.338509393182,0.4934697239761328,-0.054637695440668745,0.34602719160670053,0.710345891393183,0.42850673681343204,0.4774307226400623,0.5199031138140529,0.4752801910891824
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,50.0,0.75,none,0.0,0.0,48,2659.579700846612,0.5583970375433915,-0.07041377928690476,0.39651453496959116,0.6291102087975601,0.3596840763854831,0.39342802138561006,0.42517584863807034,0.3927626488030545
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,0.75,none,0.0,0.0,48,2689.5136660572516,0.5646818792761763,-0.07303519276282915,0.40437835303791575,0.620714385524056,0.3762750002982964,0.4017259868516884,0.4287611147335733,0.40225403396118603
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
