Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,2,979.9152684203787,0.40946768184203436,-0.0121863821447386,0.19247497324790663,0.937038109757103,0.8033865514560526,0.8360660686656739,0.8618703977034068,0.8337743392750445
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,2,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,0.75,none,0.0,0.0,2,1205.4805509393673,0.5037224570390579,-0.022133744881483095,0.24768794000702254,0.9047157489842257,0.6532444038597682,0.7077701650997371,0.7571406552688232,0.7060517414094428
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,2,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,0.75,none,0.0,0.0,2,1661.168483554784,0.6941363503874142,-0.0426553540429717,0.3566250161035871,0.8190627128712862,0.40117970414949217,0.4617194809079428,0.5100467026254768,0.4576486292276372
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,2,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,50.0,0.75,none,0.0,0.0,2,1878.4729594612866,0.7849392625073243,-0.05807057496479708,0.40714013996888815,0.7686281046290415,0.26988560457396993,0.340696883006868,0.388152301343017,0.33291159630795164
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,2,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,0.75,none,0.0,0.0,2,1900.576435358579,0.7941754274370791,-0.06224278373545189,0.41362221747900424,0.7631510906231087,0.21471694235023678,0.29656776766500903,0.3479674870108724,0.28641739900870605
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,2,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
