Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,2,1380.3191607066447,0.2898074947547601,-0.019106325527914202,0.18553095449449283,0.9000971463698757,0.775353984696467,0.8347643332006335,0.8617885197426777,0.8239689458799261
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,2,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,0.75,none,0.0,0.0,2,1698.0417126141197,0.35651552824192523,-0.03110660772521941,0.23871716515041622,0.848812610098335,0.6339821272635483,0.7069957211194942,0.7571088446479316,0.6993622310103248
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,2,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,50.0,0.75,none,0.0,0.0,2,2339.889146810211,0.4912758084831358,-0.0547410471868064,0.3445267996985714,0.7129157106703801,0.4266487093055117,0.4753081148926345,0.5175374412068033,0.47316475513498313
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,2,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,50.0,0.75,none,0.0,0.0,2,2647.0189378300793,0.5557598190176659,-0.07043986885647124,0.39480776377950566,0.6326052405325766,0.3581358395241173,0.3915699247325506,0.4231076401625843,0.39093780147308405
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,2,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,100.0,0.75,none,0.0,0.0,2,2678.88309664818,0.5624499181646009,-0.07304591600126269,0.4028589610399988,0.6237067879185001,0.37486120250181587,0.400138125060707,0.4270378966165531,0.40067907472635866
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,2,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
