Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,0.75,48,985.8070941238474,0.4119296418607874,-0.0150501589517797,0.19402702141923536,0.9362787059365207,0.809864768374423,0.8410929885554957,0.8638511800403115,0.8382696456567434
Persistence_P,PAC,1.0,0.5,0,1y,,,48,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,0.75,48,1196.1778771987135,0.49983523905779453,-0.022870630143309548,0.24484981296949865,0.9061806886525205,0.6457592166332402,0.7023083142850053,0.7541272595627374,0.7007315968269943
Persistence_P,PAC,1.0,1.0,0,1y,,,48,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,50.0,0.75,48,1659.1175422584784,0.6932793434550228,-0.04618022923189849,0.3554863681604082,0.8195092210683096,0.3998988000503746,0.4611494246131855,0.5098721200605351,0.456973448241365
Persistence_P,PAC,1.0,3.0,0,1y,,,48,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,50.0,0.75,48,1880.1267970415347,0.7856303355643031,-0.057046039204435225,0.40736367255205674,0.7682205182649049,0.27003378015389445,0.34099683798133396,0.3879045484153622,0.33297838885019687
Persistence_P,PAC,1.0,6.0,0,1y,,,48,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,0.75,48,1903.925452653002,0.7955748487872606,-0.06235799380581402,0.4149962209923991,0.7623156493959691,0.2154302063401954,0.2970903515318826,0.34827166400609466,0.28693074062605756
Persistence_P,PAC,1.0,10.0,0,1y,,,48,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
