Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_c1,PAC,1.0,0.5,27000,6m,25.0,1.0,c1,100.0,0.0,1495.2620566834746,0.6248106421318438,0.01664195538510807,0.30816001169461005,0.8533995394859695,1.286253505660286,1.2757611904257011,1.2397459511842122,1.2672535490900663
Persistence_P,PAC,1.0,0.5,0,6m,,,c1,100.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,1.0,27000,6m,25.0,1.0,c1,100.0,0.0,1572.4626227680187,0.657069693348066,0.01818499926010184,0.3317366658432552,0.8378707510288008,0.8749118770621623,0.9232352436233245,0.9510933606208573,0.9164134937687813
Persistence_P,PAC,1.0,1.0,0,6m,,,c1,100.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,3.0,27000,6m,25.0,1.0,c1,100.0,0.0,1987.9643438039427,0.8306913645239952,0.02199567914269563,0.43335170635582015,0.7408698837220908,0.4874921878671788,0.5525519379710677,0.5929755247469228,0.5443398835283898
Persistence_P,PAC,1.0,3.0,0,6m,,,c1,100.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,6.0,27000,6m,25.0,1.0,c1,100.0,0.0,1995.809070017694,0.8339693641234995,0.017347337075757543,0.4358910204315886,0.7388207366555317,0.2889440269547816,0.3619780235893663,0.40341961719768793,0.351447222580612
Persistence_P,PAC,1.0,6.0,0,6m,,,c1,100.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m_c1,PAC,1.0,10.0,27000,6m,25.0,1.0,c1,100.0,0.0,1987.9446815025597,0.8306831484289648,0.01768552165918832,0.4356194647758893,0.7408750096382197,0.22613601386070015,0.31020079248931126,0.3577658010198049,0.2980342024566054
Persistence_P,PAC,1.0,10.0,0,6m,,,c1,100.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
