Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,991.1059398703247,0.4141438191005667,-0.009083889075418558,0.19519635980301017,0.9355918438409795,0.8147455625669026,0.8456139765168984,0.8728475374203049,0.8444023588347019
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,48,1224.7380238256728,0.5117693903148324,-0.013427268854238237,0.25109228755999585,0.901647113238429,0.6622229233133614,0.719076747154108,0.7722655829063916,0.7178550844579537
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,50.0,0.75,none,0.0,0.0,48,1684.2637429770452,0.7037869422721778,-0.0223897032378928,0.36426156071527466,0.8139965891717067,0.4097703149302887,0.4681387762999801,0.5155092966081086,0.46447279594612584
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,100.0,1.0,none,0.0,0.0,48,1905.00966683427,0.7960278988434555,0.029478386851895494,0.43994573110750784,0.7620448676605935,0.2916318190310594,0.3455098207932249,0.3898186966063418,0.342320112143542
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,100.0,1.0,none,0.0,0.0,48,1908.5148780895163,0.7974925874479774,0.0325718527121079,0.4411240634815372,0.76116838878745,0.2289935262306728,0.29780648987351965,0.34704613738607093,0.29128205116342115
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
