Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,1395.8209149996608,0.29306219461248206,-0.016242490350631557,0.18802559740853808,0.8978406165096975,0.7857793680459457,0.8441392024006125,0.8727394960044513,0.8342193554836698
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,48,1724.3437318489853,0.36203781795465056,-0.022935007052697874,0.24159484640719883,0.8440926658201051,0.6416246379460622,0.7179468154993991,0.7721651372334316,0.710578863559631
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,50.0,0.75,none,0.0,0.0,48,2371.351664164324,0.49788158024421586,-0.03523018670155249,0.35143073060789265,0.7051434450950105,0.4351982712384975,0.48169918253519634,0.5230372746912215,0.4799782428216384
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,100.0,1.0,none,0.0,0.0,48,2669.3530098983306,0.5604490109509711,-0.0015247472600096721,0.4089630471132249,0.6263793406685128,0.3709763020112089,0.3948737737506863,0.4245735670909707,0.39680788095095526
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,100.0,1.0,none,0.0,0.0,48,2675.5258242090367,0.5617450357413943,0.0018468971925547954,0.41039279992300587,0.6246493652286405,0.3818714571473829,0.39963665760182554,0.42560742302700705,0.40237184592540515
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
