Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,1,988.4640766775117,0.4130398893709598,-0.008832910781089243,0.19361496354760915,0.9359347552225873,0.8081448473535237,0.8433599324737554,0.8730691245591189,0.841524634795466
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,1,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,25.0,0.75,none,0.0,0.0,1,1211.6424589092048,0.5062972737129532,-0.013372980413603994,0.24747552182804833,0.9037391535960767,0.6526841788173658,0.7113879875670865,0.7661276455917557,0.7100666039920694
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,1,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,50.0,0.75,none,0.0,0.0,1,1652.3160611853593,0.6904372745763616,-0.022988180204745527,0.3571093929819868,0.8209860162071522,0.4017245963023096,0.4592589623623212,0.5059909385318043,0.455658165732145
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,1,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,100.0,1.0,none,0.0,0.0,1,1871.386688239756,0.7819781911336111,0.028412438060470054,0.43180229762408884,0.770370446976595,0.2862336888708929,0.3394116526259052,0.3831653535320804,0.3362702316762929
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,1,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,100.0,1.0,none,0.0,0.0,1,1875.8948328056247,0.7838619657458494,0.03214843865928453,0.4336149367046921,0.7692627655730271,0.22509543596107479,0.2927164267584574,0.34119613498180723,0.2863359992337798
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,1,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
