Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,25.0,0.75,48,988.9096983839175,0.413226096988068,-0.006481105991862061,0.19561765342411513,0.9358769781124104,0.8165040334148189,0.8437401379876336,0.8680190864975446,0.8427544192999991
Persistence_P,PAC,1.0,0.5,0,6m,,,48,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,0.75,48,1210.5341063231,0.5058341371758243,-0.008300541546596154,0.24820304022997408,0.9039151826867954,0.6546029130308666,0.7107372438514415,0.7633312767706129,0.7095571445509737
Persistence_P,PAC,1.0,1.0,0,6m,,,48,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,50.0,0.75,48,1683.7105664264702,0.7035557917562986,-0.0182031814144365,0.36266630258118765,0.8141187503577745,0.40797575437683276,0.46798502164335704,0.5170114661087728,0.4643240807096542
Persistence_P,PAC,1.0,3.0,0,6m,,,48,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,100.0,1.0,48,1895.4607088732541,0.7920377684655432,0.03221998289919563,0.4338962001759089,0.7644244133150211,0.2876216978158231,0.34377793522260974,0.3884633249556326,0.33995431933135517
Persistence_P,PAC,1.0,6.0,0,6m,,,48,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,100.0,1.0,48,1904.8302725390345,0.7959529370905641,0.029222726154754144,0.43670970698566214,0.7620896819038568,0.22670197348233354,0.2972315404936878,0.34708220244086746,0.2903385721389629
Persistence_P,PAC,1.0,10.0,0,6m,,,48,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
