Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,336,980.234749997812,0.4096011805078054,-0.00541283654510626,0.19028236513657965,0.9369970481597736,0.7948931745704467,0.8363535878504147,0.858532845046456,0.8299265358224392
Persistence_P,PAC,1.0,0.5,0,1y,,336,1172.0338912124462,0.489746425983007,-0.00041580003807339125,0.23938105298162432,0.9099298161859053,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,1191.5375524934457,0.4978962316136884,-0.005895712760895155,0.24225430818526777,0.9069071820067287,0.6432422246109782,0.699927165075954,0.7459304579389372,0.6963666158752897
Persistence_P,PAC,1.0,1.0,0,1y,,336,1702.3736353541067,0.7113543472193399,-0.002879395089049334,0.37661443685818197,0.8099751150765557,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,50.0,336,1653.728211469478,0.6910273561088014,-0.016123337701851873,0.3523185571897104,0.8206798972032122,0.4362846568788244,0.47393808044254354,0.5114433273875444,0.4738886882363041
Persistence_P,PAC,1.0,3.0,0,1y,,336,3489.3339018575925,1.4580540889720213,-0.08231759471271496,0.8075428544982386,0.2016638988682139,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,50.0,336,1863.9299690234395,0.7788623242520042,-0.024643741760383375,0.40055906528534285,0.772196762973737,0.36335716845345745,0.3890088820652312,0.417572127397322,0.38997939263867026
Persistence_P,PAC,1.0,6.0,0,1y,,336,4791.484346393112,2.002171056139022,-0.40745239299291963,1.102383825232419,-0.5053616780675527,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,1888.1192937287385,0.7889700825772412,-0.025135215541883364,0.41049729947339253,0.766245721391697,0.3819720291871952,0.3978902025658931,0.4219132578759251,0.4005918298763378
Persistence_P,PAC,1.0,10.0,0,1y,,336,4745.327433429463,1.9828839149327455,-0.8521203582667777,1.0746789505684402,-0.4764987308591142,1.0,1.0,1.0,1.0
