Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,336,1382.9438822689938,0.29035857308654517,-0.005287871993155404,0.190180628451083,0.899716848118925,0.7947854765443062,0.8363516645999237,0.8585328037008194,0.8298899816150165
Persistence_P,PAC,1.0,0.5,0,1y,,336,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,1681.0602199135171,0.3529501471352554,-0.005770808879755434,0.24215910149615122,0.8518214287724032,0.6431231797094411,0.6999253160827033,0.7459304229596632,0.6963263062506025
Persistence_P,PAC,1.0,1.0,0,1y,,336,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,50.0,336,2333.1397554028135,0.4898587273684349,-0.015999718867026076,0.3522371794841843,0.7145695066877156,0.43619694644313106,0.4739370924615523,0.5114433121732345,0.47385911702597266
Persistence_P,PAC,1.0,3.0,0,1y,,336,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,50.0,336,2629.701525446722,0.5521239092648182,-0.024521193468708277,0.4004837487413736,0.6373966793529735,0.3632846076739253,0.38900818338397053,0.4175721178977979,0.38995496965189796
Persistence_P,PAC,1.0,6.0,0,1y,,336,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,2663.8288653416853,0.5592891788337345,-0.025012729001257505,0.4104232316153385,0.6279241336570016,0.3818997739080491,0.39788951186189,0.42191324850970174,0.40056751142654695
Persistence_P,PAC,1.0,10.0,0,1y,,336,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
