Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,336,993.3885216621876,0.41509761939845935,0.00324296010534318,0.19192737251059777,0.9352948298219437,0.8017650942713949,0.8475766179718118,0.8719939274642667,0.8404452132358244
Persistence_P,PAC,1.0,0.5,0,6m,,336,1172.0338912124462,0.489746425983007,-0.00041580003807339125,0.23938105298162432,0.9099298161859053,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,336,1216.0519553695437,0.508139827198844,0.001447355143221077,0.2471216361890585,0.9030372398847474,0.6561661264252455,0.714327295791676,0.7631204586870555,0.7112046269679922
Persistence_P,PAC,1.0,1.0,0,6m,,336,1702.3736353541067,0.7113543472193399,-0.002879395089049334,0.37661443685818197,0.8099751150765557,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,50.0,336,1689.5791069917068,0.7060080218403516,0.005242771750534956,0.3625605779845355,0.8128207211753407,0.4489676008709285,0.4842125043098447,0.5204696514979659,0.48454991889291305
Persistence_P,PAC,1.0,3.0,0,6m,,336,3489.3339018575925,1.4580540889720213,-0.08231759471271496,0.8075428544982386,0.2016638988682139,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,100.0,336,1889.5972174521498,0.7895876482183402,0.003603811373686081,0.41057996913002237,0.7658796362576581,0.3724473815129304,0.3943657290406433,0.4224054753949574,0.39640619531617705
Persistence_P,PAC,1.0,6.0,0,6m,,336,4791.484346393112,2.002171056139022,-0.40745239299291963,1.102383825232419,-0.5053616780675527,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,100.0,336,1904.9131178801879,0.7959875548691484,0.00031311425499549084,0.4152615282084924,0.7620689869470814,0.3864051938384428,0.401429225823412,0.42575300902225033,0.4045291428947017
Persistence_P,PAC,1.0,10.0,0,6m,,336,4745.327433429463,1.9828839149327455,-0.8521203582667777,1.0746789505684402,-0.4764987308591142,1.0,1.0,1.0,1.0
