Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,336,1401.5018905511863,0.2942549544749966,0.0033690122117990065,0.19182584251147008,0.8970073491568816,0.8016610045707502,0.8475748395367155,0.8719938906853997,0.8404099115976219
Persistence_P,PAC,1.0,0.5,0,6m,,336,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,336,1715.6462973208897,0.36021173179781524,0.001573181641527295,0.2470270410536454,0.8456614644895343,0.656051394042524,0.7143255564040533,0.7631204269434138,0.7111657924633303
Persistence_P,PAC,1.0,1.0,0,6m,,336,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,50.0,336,2383.71976850296,0.5004783487563697,0.005369075122616772,0.3624804871340852,0.7020596959209118,0.4488818638187114,0.484211549570193,0.5204696369290568,0.48452101677265375
Persistence_P,PAC,1.0,3.0,0,6m,,336,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,100.0,336,2665.913983650312,0.5597269637536954,0.003729908819171737,0.41050591165896816,0.6273414191669426,0.3723758567820476,0.3943650432577364,0.42240546613719354,0.39638212205899254
Persistence_P,PAC,1.0,6.0,0,6m,,336,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,100.0,336,2687.5223138432125,0.5642637811922306,0.00043879824200695545,0.41518805895027056,0.6212758339701092,0.3863334568522614,0.4014285435096262,0.4257529998447868,0.40450500006889145
Persistence_P,PAC,1.0,10.0,0,6m,,336,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
