Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,1.0,0.5,0,1599.2864057941608,0.3362607429055892,-0.0019237081563321645,0.23284768359787927,0.8658028597399385,0.9740068920768208,0.9692634772919471,0.9667247463479766,0.9699983719055815
Persistence_P,1.0,0.5,0,1650.0017211650777,0.34692397968514993,-0.0002763530957618725,0.2390616385695086,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.7953197188124719,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_corre,1.0,1.0,0,2262.3704186078767,0.4756786244993736,-0.006235814204676711,0.3543140232819113,0.7314543036200343,0.9413112327141467,0.9436022488231108,0.9454356192307655,0.9434497002560077
Persistence_P,1.0,1.0,0,2397.5890492308313,0.5041092526990629,-0.002691673893072258,0.37640475431308046,0.698393801718226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.1402408413217646,1.3530501623044877,1.4293762140342643,1.3075557392201722
BLEND_corre,1.0,3.0,0,4147.0737323395615,0.8717638794200898,-0.058510816115110165,0.6713619302418201,0.09764199619804859,0.831162555372552,0.8429858180833871,0.8495773835723911,0.8412419190094435
Persistence_P,1.0,3.0,0,4919.505931628067,1.0341382508689558,-0.08224470955262753,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,3244.4260851871327,0.6820166828620261,0.0004932302429671041,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730714,0.6429262248925509
BLEND_corre,1.0,6.0,0,4911.583498250352,1.032356147021473,-0.23453034974150055,0.787814263625265,-0.2657469738108198,0.7144380665792267,0.7269390387574157,0.7348358058111739,0.7254043037159388
Persistence_P,1.0,6.0,0,6756.527351517545,1.420141293809338,-0.4077291436022946,1.1027047696343617,-1.3952503538388226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.38921489402071086,0.4802186907469083,0.538525708802498,0.4693197645233724
BLEND_corre,1.0,10.0,0,4262.666722340017,0.8959615967191047,-0.4410484504129646,0.6724221491626097,0.04661878243058959,0.6258652187865177,0.637271231688944,0.6492029997532928,0.6374464834095849
Persistence_P,1.0,10.0,0,6688.936374929052,1.4059344783924421,-0.8524654027893624,1.0743881094181278,-1.3475668301253614,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.399473073358763,0.48507124853252115,0.5402874347378407,0.47494391887637494
