Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_huber,delta_huber,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1523.9844515944744,0.32042799964603813,-0.013953110765921577,0.21551814970164931,0.8781426183918789,0.9015170773163849,0.9236259768979989,0.930546411154593,0.9185631551229924
ELM,1.0,0.5,27000,500.0,100.0,25.0,538.9748657256957,1377.5657155135223,0.289642473806825,0.0015561439483369939,0.18360605900709281,0.9004330001832431,0.7680281123552504,0.8348874415360086,0.8675114576088122,0.8234756705000237
Persistence_P,1.0,0.5,0,,,,,1650.0017211650777,0.34692397968514993,-0.0002763530957618725,0.2390616385695086,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.7953197188124719,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_opti,1.0,1.0,0,,,,,1947.2216351765815,0.40941646929160946,-0.031249255711225495,0.2823212952951644,0.8010602617057462,0.7500471023815478,0.8121582119343046,0.8484707796949155,0.8035586980035894
ELM,1.0,1.0,27000,500.0,100.0,25.0,693.7890626619189,1686.6209188230316,0.3546234127350767,-0.004803864308879982,0.23397273999732543,0.850746083955487,0.6215987904411935,0.7034653913539166,0.7599904268995015,0.6950182028982038
Persistence_P,1.0,1.0,0,,,,,2397.5890492308313,0.5041092526990629,-0.002691673893072258,0.37640475431308046,0.698393801718226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.1402408413217646,1.3530501623044877,1.4293762140342643,1.3075557392201722
BLEND_opti,1.0,3.0,0,,,,,2701.844031219094,0.5679595267081966,-0.07335309387244764,0.3818854894353652,0.6169848867537547,0.47278361337001523,0.5492104428309822,0.6062177591342676,0.5427372717784217
ELM,1.0,3.0,27000,500.0,100.0,25.0,914.03935369839,2357.782528286053,0.49563373509831277,-0.020283664729107698,0.3383653998886056,0.708322552142473,0.418904673846742,0.47927221982345813,0.5288565721613189,0.4756778219438396
Persistence_P,1.0,3.0,0,,,,,4919.505931628067,1.0341382508689558,-0.08224470955262753,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,3244.4260851871327,0.6820166828620261,0.0004932302429671041,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730714,0.6429262248925509
BLEND_opti,1.0,6.0,0,,,,,3055.3639243818593,0.6422009785330717,-0.11535829149971133,0.42270567151451754,0.5101876540283092,0.38333530710552716,0.452209214204633,0.5046009684355094,0.4467151632485565
ELM,1.0,6.0,27000,500.0,100.0,25.0,985.9698030143453,2663.9902417781013,0.559938908232862,-0.029546845526783654,0.3852987292735989,0.6276347936164475,0.34941240836507625,0.39428394250187676,0.4331632072320835,0.39228651936634545
Persistence_P,1.0,6.0,0,,,,,6756.527351517545,1.420141293809338,-0.4077291436022946,1.1027047696343617,-1.3952503538388226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.38921489402071086,0.4802186907469083,0.538525708802498,0.4693197645233724
BLEND_opti,1.0,10.0,0,,,,,3138.9063692671284,0.6597606019305429,-0.13451456859532232,0.4332921004834988,0.48303569511704747,0.4032919730637778,0.46926838488584394,0.518685233972501,0.4637485306407076
ELM,1.0,10.0,27000,500.0,100.0,25.0,901.7385401319264,2693.989403344817,0.5662443734377031,-0.03314194460860627,0.39227690988547914,0.6192011739622214,0.365116577935631,0.40275303162431286,0.4371547668153289,0.40167479212509094
Persistence_P,1.0,10.0,0,,,,,6688.936374929052,1.4059344783924421,-0.8524654027893624,1.0743881094181278,-1.3475668301253614,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.399473073358763,0.48507124853252115,0.5402874347378407,0.47494391887637494
