Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_mae,delta_mae,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1523.9844515944744,0.32042799964603813,-0.013953110765921577,0.21551814970164931,0.8781426183918789,0.9015170773163849,0.9236259768979989,0.930546411154593,0.9185631551229924
ELM,1.0,0.5,27000,500.0,100.0,10.0,10.0,1376.5630165411997,0.2894316495916486,0.0012027053014473127,0.18645804844635894,0.9005778925730342,0.7799580458081113,0.8342797458230522,0.8612674828604069,0.8251684248305234
Persistence_P,1.0,0.5,0,,,,,1650.0017211650777,0.34692397968514993,-0.0002763530957618725,0.2390616385695086,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.7953197188124719,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_opti,1.0,1.0,0,,,,,1947.2216351765815,0.40941646929160946,-0.031249255711225495,0.2823212952951644,0.8010602617057462,0.7500471023815478,0.8121582119343046,0.8484707796949155,0.8035586980035894
ELM,1.0,1.0,27000,500.0,100.0,25.0,10.0,1683.212505259385,0.3539067708172257,-0.005375015891565979,0.23780376981741608,0.851348714982859,0.6317767432332141,0.702043790948818,0.7527498560894578,0.69552346342383
Persistence_P,1.0,1.0,0,,,,,2397.5890492308313,0.5041092526990629,-0.002691673893072258,0.37640475431308046,0.698393801718226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139314,0.429192073735459,0.4478360384278349,1.1402408413217646,1.3530501623044877,1.4293762140342643,1.3075557392201722
BLEND_opti,1.0,3.0,0,,,,,2701.844031219094,0.5679595267081966,-0.07335309387244764,0.3818854894353652,0.6169848867537547,0.47278361337001523,0.5492104428309822,0.6062177591342676,0.5427372717784217
ELM,1.0,3.0,27000,500.0,100.0,25.0,100.0,2349.9872314951185,0.4939950716429943,-0.01987375971872408,0.3424766457360099,0.710248050846543,0.4239944971601708,0.47768765078354347,0.5242124213276604,0.4752981897571249
Persistence_P,1.0,3.0,0,,,,,4919.505931628067,1.0341382508689558,-0.08224470955262753,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,3244.4260851871327,0.6820166828620261,0.0004932302429671041,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730714,0.6429262248925509
BLEND_opti,1.0,6.0,0,,,,,3055.3639243818593,0.6422009785330717,-0.11535829149971133,0.42270567151451754,0.5101876540283092,0.38333530710552716,0.452209214204633,0.5046009684355094,0.4467151632485565
ELM,1.0,6.0,27000,500.0,100.0,25.0,100.0,2648.3998133805444,0.5566619865238756,-0.028978121075453844,0.3886820453022384,0.631980414532848,0.3524806058752415,0.3919764807561539,0.42824277573849673,0.39089995412329737
Persistence_P,1.0,6.0,0,,,,,6756.527351517545,1.420141293809338,-0.4077291436022946,1.1027047696343617,-1.3952503538388226,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.38921489402071086,0.4802186907469083,0.538525708802498,0.4693197645233724
BLEND_opti,1.0,10.0,0,,,,,3138.9063692671284,0.6597606019305429,-0.13451456859532232,0.4332921004834988,0.48303569511704747,0.4032919730637778,0.46926838488584394,0.518685233972501,0.4637485306407076
ELM,1.0,10.0,27000,500.0,100.0,25.0,100.0,2678.6807571218274,0.563026678973889,-0.03257119695525046,0.3956714505808473,0.623516670778185,0.3682760886055756,0.40046437983202365,0.43224403479972956,0.40032816774577623
Persistence_P,1.0,10.0,0,,,,,6688.936374929052,1.4059344783924421,-0.8524654027893624,1.0743881094181278,-1.3475668301253614,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,3244.6107187414314,0.6819783927887408,0.0004940042289992676,0.4291891200493705,0.44763133759579066,0.399473073358763,0.48507124853252115,0.5402874347378407,0.47494391887637494
