Method,LB_days,FH_hours,N_params,n_test_sub,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,874,1060.7384598281103,0.44859098307088685,-0.022495556179517567,0.2133586880173991,0.925916309469357,0.8982019180119093,0.9257681710880225,0.9507897092497896,0.9249199327832405
Persistence_P,1.0,0.5,0,874,1145.7927513120937,0.48456081887506874,-0.01534059886113374,0.2375397822459005,0.9135593311774448,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,874,2247.6307091951826,0.9505329613310791,0.03550920355254022,0.41814338293655967,0.6673742306558783,1.760308858512377,1.9616380943423926,1.9788854936294127,1.9002774821613941
TimeGPT,1.0,0.5,0,874,1115.5065555645106,0.47175265282998424,-0.04909201134439527,0.22464034075235564,0.9180686272604309,0.9456956583373837,0.9735674748222126,1.003710908894495,0.9743246806846971
BLEND_opti,1.0,1.0,0,874,1429.9442695803652,0.6011344045268725,-0.04701121145167126,0.2924056402541176,0.8640488774580903,0.7619672482444495,0.8296682703771986,0.8718481264014721,0.8211612150077068
Persistence_P,1.0,1.0,0,874,1723.5132650429773,0.7245479018422315,-0.02119477184723521,0.3837509301453727,0.8024969370717416,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,874,2222.3545631167162,0.9342558415502384,0.020441534350693784,0.42301247070498404,0.6716241024280047,1.102309955430566,1.2894328162082929,1.3463043822093197,1.246015717949393
TimeGPT,1.0,1.0,0,874,1650.170431512195,0.6937153012306155,-0.03257660356094508,0.3980264014095136,0.8189484794852399,1.0371998349521474,0.95744573887631,0.968445005907025,0.9876968599118275
BLEND_opti,1.0,3.0,0,874,1934.210539066793,0.8142389474482578,-0.09241360558849056,0.3853116644174527,0.7502176669710031,0.4310532301884428,0.5385623857539698,0.6088933613617405,0.5261696591013844
Persistence_P,1.0,3.0,0,874,3591.43265521405,1.5118748894955778,-0.0198513764421015,0.8938841828166016,0.13882843509393905,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,874,2261.7872220647405,0.9521379445768374,-0.006446207945907009,0.4162207480119701,0.6584473026496256,0.46563162880953024,0.6297729734068862,0.725829159463173,0.6070779205598632
TimeGPT,1.0,3.0,0,874,3412.1112688251906,1.4363864905032562,0.04106120227452477,0.9765821747622112,0.22267864838640494,1.0925153320031133,0.9500696787037005,0.9239512220206835,0.9888454109091658
BLEND_opti,1.0,6.0,0,874,2227.328517861414,0.90285173826006,-0.15907419801588954,0.42127001235031714,0.6881253731047741,0.29100250325199783,0.40458641908537124,0.47625011735960254,0.39061301323232384
Persistence_P,1.0,6.0,0,874,5505.198426819731,2.2315423743117546,-0.05620870257038183,1.4476508196409301,-0.9052740059267452,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,874,2332.0255550000707,0.9452908760941474,-0.05332751670535331,0.43147828957212747,0.6581165336622263,0.29805411893397726,0.42360426894680453,0.49527460212105034,0.40564433000061073
TimeGPT,1.0,6.0,0,874,5116.797936676045,2.074103516570202,0.1785360857061163,1.5612104202337014,-0.6459173452493989,1.0784440550525425,0.9294484122040885,0.895712256026713,0.967868241094448
BLEND_opti,1.0,10.0,0,875,2070.6924892609936,0.8903656999129851,-0.08611742693206455,0.4131897039224665,0.7060224806258896,0.216366022143942,0.3312806801014729,0.399165017613435,0.3156039066196166
Persistence_P,1.0,10.0,0,875,6250.568214924971,2.6876475248730523,0.0042861676832341815,1.909679254756477,-1.6786865853788036,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,875,2190.785570246208,0.9420038647591173,0.05710643694746751,0.42024851263611535,0.6709342759206206,0.2200623542353481,0.3504938263076784,0.4264223529856022,0.33232617784287627
TimeGPT,1.0,10.0,0,875,5131.058241788055,2.206275575169717,0.41369708091695234,1.721427261209163,-0.8050814077595734,0.9014221927172164,0.8208946875479618,0.7991146588130328,0.840477179692737
