Method,LB_days,FH_hours,N_params,n_test_sub,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,874,1498.3809968232076,0.31761017355223775,-0.022454109229930675,0.2131787756797562,0.883106975239915,0.8984173114144323,0.9257767091545673,0.9507899058172723,0.9249946421287573
Persistence_P,1.0,0.5,0,874,1618.5123064843042,0.3430742752669636,-0.015327256457544656,0.23728257789705332,0.8636120204941805,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,874,3174.9911023420304,0.6729993754456591,0.035503978028990094,0.4180024996310484,0.4751573630009267,1.7616232229759476,1.9616725122335796,1.9788861557251403,1.9007272969782225
TimeGPT,1.0,0.5,0,874,1573.8306733108884,0.33360315857708717,-0.05337156988684323,0.2200934644481897,0.8710384945394685,0.9275584680459716,0.972393392997751,1.0035854924684198,0.9678457845040475
BLEND_opti,1.0,1.0,0,874,2015.330971688648,0.42658035700258096,-0.047066220173953205,0.29222664634105855,0.7839050050941425,0.767125748911802,0.8302474262645955,0.8719295015442518,0.8231008922402164
Persistence_P,1.0,1.0,0,874,2427.3859911326876,0.5137990718282962,-0.023785454863335255,0.38093708463781006,0.6865057120662523,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,874,3132.147414136981,0.6629742612389536,0.020436573887966304,0.4229316881569356,0.4780410636648502,1.1102402606956827,1.2903376000268632,1.346430088648047,1.2490026497901976
TimeGPT,1.0,1.0,0,874,2275.067659291398,0.48155820951452377,-0.07563107861522024,0.35479191672364196,0.7246148081745798,0.9313661783834289,0.937250057305384,0.9626514715941037,0.9437559024276388
BLEND_opti,1.0,3.0,0,874,2729.1254182673483,0.5771937224499821,-0.09257569123003184,0.38492385352110675,0.601636138495766,0.46812063228482464,0.5514536250229749,0.6149718137280208,0.5448486903452734
Persistence_P,1.0,3.0,0,874,4948.966321789337,1.0466768124444459,-0.0912182727093969,0.8222749158531055,-0.30997178498356637,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,874,3191.3427451891853,0.6749499258553474,-0.006342869541941617,0.4160970176093289,0.45527181944111883,0.5060315103709938,0.6448503662549336,0.733074997322323,0.6279856246494168
TimeGPT,1.0,3.0,0,874,4304.47338683694,0.9103704068362862,-0.22929520296664932,0.7062765803049085,0.009001495828646733,0.8589299839849188,0.8697722124083126,0.8839025902110674,0.8708682622014329
BLEND_opti,1.0,6.0,0,874,3146.2689758033116,0.6391932272241463,-0.15966437966221866,0.4206536091571794,0.4964163846110924,0.3968799466896867,0.4628495622533804,0.5161149460044409,0.458614818315836
Persistence_P,1.0,6.0,0,874,6797.606030965481,1.3809956395167315,-0.4439107402321864,1.0599013950333978,-1.3506711477151327,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,874,3294.213527886659,0.6692495118023716,-0.05335960898113163,0.4314323189357039,0.4479436771870702,0.4070494868271301,0.48461377621479684,0.5367320247571808,0.4761317625997026
TimeGPT,1.0,6.0,0,874,5687.208936117614,1.1554083461179185,-0.5106492911247896,0.87215710421336,-0.6454256492688473,0.8228662669001188,0.8366488010941472,0.851695375340873,0.8370701477783796
BLEND_opti,1.0,10.0,0,875,2926.725793639711,0.6300551982824356,-0.08616548969768403,0.41311351661103574,0.5335757129994625,0.3900933191884105,0.44782106454286813,0.48986972268738416,0.4425947021395542
Persistence_P,1.0,10.0,0,875,6535.480408067198,1.4069351537217003,-0.8465094125747639,1.0590120268414716,-1.32579868327228,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,875,3096.465474999362,0.6665961577491076,0.057172650594198314,0.4201867838512173,0.47790495644734243,0.3967724380849898,0.4737930927276867,0.5233209082567021,0.4646288130231262
TimeGPT,1.0,10.0,0,875,5052.957059013846,1.0877827600550125,-0.4924417756228866,0.8155223737338103,-0.39029929083694404,0.770078481701596,0.7731577089232231,0.7826681153275845,0.7753014353174678
