Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,1.0,0.5,53,447.0189722740356,0.41858912444373714,0.011480117551944953,0.20868206481766916,0.9277806333138336,0.877117662970264,0.8862561106314485,0.9160382703922793,0.8931373479979973
BLEND_opti,1.0,0.5,0,474.8366562744051,0.44463763851581767,-0.014607316432677318,0.2167610474817469,0.9185126414210874,0.9110746702467855,0.9414072204457066,0.9545953869732647,0.9356924258885856
Persistence_P,1.0,0.5,0,504.39028505601965,0.4723116934511138,0.0,0.23791798253268548,0.9080535024936408,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,1190.4455117074754,1.1147346653066255,-0.005961071981523069,0.5102694108491246,0.4878221319321282,2.1447282185953433,2.3601674080127446,2.3394788555454684,2.281458160717852
AR_OLS,1.0,1.0,53,595.1168860455526,0.5572172807108808,0.022239472635939804,0.3005798003566113,0.8720079527323608,0.7879388806009769,0.7926778633798075,0.8312835167077882,0.8039667535628575
BLEND_opti,1.0,1.0,0,638.551886132419,0.5978861530006649,-0.03613258880310749,0.2972273181065605,0.8526429823285652,0.7791506948739064,0.8505319822463381,0.8898499197625538,0.8398441989609328
Persistence_P,1.0,1.0,0,750.7676365631085,0.7029555213451105,0.0,0.3814760354602035,0.7963007051499995,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,1190.4998985093268,1.114683739763973,-0.0059610719815230695,0.5102694108491246,0.4878028416368767,1.337618522310446,1.5857101991759273,1.664338742898135,1.5292224881281695
AR_OLS,1.0,3.0,53,889.6650299672524,0.832855099899756,0.049134582699557575,0.48773379900485475,0.7139876214840244,0.5518550891825117,0.5686513118929095,0.6058660860650267,0.5754574957134826
BLEND_opti,1.0,3.0,0,937.9615230959868,0.8780676003967358,-0.10546045120138535,0.4327736061146243,0.6820917226033021,0.489669400573664,0.5995212047766307,0.6642442511820298,0.5844782855107749
Persistence_P,1.0,3.0,0,1564.5176778116663,1.4646147515731087,0.0,0.8838077396864407,0.11551038356623256,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,1190.6086944792603,1.1145818816982638,-0.0059610719815230695,0.5102694108491246,0.48776424610708546,0.5773534083670269,0.7610068657994311,0.856868224813705,0.7317428329933877
AR_OLS,1.0,6.0,53,992.562051836247,0.928926833270526,0.056024273405081274,0.5520017393530068,0.6440597111409532,0.3719240821938517,0.4165483507120533,0.46465189672767854,0.41770810987786117
BLEND_opti,1.0,6.0,0,1097.6540281083212,1.0272811442578909,-0.15703949487673136,0.4942647052241777,0.5646958921225127,0.33302240508658576,0.46065228286240806,0.5383367748548857,0.4440038209346265
Persistence_P,1.0,6.0,0,2382.8255474773773,2.23005764320662,-4.2510221208771343e-07,1.4841785347615544,-1.0513809116565493,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,1190.771944375292,1.1144290771439025,-0.005961071981523069,0.5102694108491246,0.48770631543524434,0.3438059498220028,0.4997310632479683,0.588271394731274,0.47726946926708164
AR_OLS,1.0,10.0,53,995.5384655742237,0.9313717291106223,0.05617138342986489,0.5539816490572892,0.6419986994634942,0.29311158006549737,0.3608069691112522,0.4176329100488034,0.35718381974185104
BLEND_opti,1.0,10.0,0,1135.064105292684,1.0619043411728726,-0.17714915086768684,0.5095208444288593,0.5346183078244975,0.269587377201018,0.4113744006279131,0.49828764866552205,0.3930831421648177
Persistence_P,1.0,10.0,0,2759.1996574413633,2.5813573706871518,-0.0009947169049982195,1.890002602195038,-1.7500131423923753,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,1190.9897153983954,1.114225305140527,-0.0059610719815230695,0.5102694108491247,0.4876290046876438,0.26998344354473414,0.43164318036441535,0.5274344135342077,0.4096870124811191
