Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,928.2335760686695,0.8691990809903969,-0.008932382334413225,0.40854728866630624,0.6886016468179871,1.7171770049377395,1.8403081969859434,1.8026678602796888,1.786717687401124
Persistence_P,PAC,1.0,0.5,0,504.2831548114086,0.47221137655613943,-0.0013287144491142752,0.23699944626726246,0.9080925563968827,0.9961392734771664,0.9997876044646674,0.9999815196931822,0.9986361325450054
Persistence_Pcyclic,PAC,1.0,0.5,0,1190.4510811213463,1.1147398805127362,-0.006652989552118765,0.5104400354699544,0.48781733954613926,2.145445375907345,2.3601784498865395,2.339478990735782,2.281700938843222
BLEND_corre,PAC,1.0,1.0,0,947.8971909600594,0.8875310170577441,-0.012982892402318244,0.4194149201553424,0.6752860761034594,1.0994528651042794,1.2625706607431533,1.3101728754244581,1.2240654670906304
Persistence_P,PAC,1.0,1.0,0,749.4289060015302,0.7017020469090481,-0.005155359799496958,0.3766266262676167,0.7970265098520546,0.9872877750060065,0.9982168509983905,0.9994952073537932,0.9949999444527301
Persistence_Pcyclic,PAC,1.0,1.0,0,1190.5054681776426,1.1146889547318324,-0.006652989552118765,0.5104400354699545,0.4877980490703907,1.338065797119266,1.5857176178072647,1.6643388390744593,1.5293740846669968
BLEND_corre,PAC,1.0,3.0,0,1039.061605384391,0.9727118949322666,-0.03749440524504836,0.4852445720544852,0.60986547564414,0.549038609038026,0.6641418119594242,0.7355399297780342,0.6495734502584948
Persistence_P,PAC,1.0,3.0,0,1509.1862915980882,1.412816574011608,-0.07785774738647334,0.8062719167688671,0.17696653756778713,0.912270712921023,0.9646335819669537,0.9772121374645424,0.9513721441175065
Persistence_Pcyclic,PAC,1.0,3.0,0,1190.61426465657,1.1145870961895874,-0.006652989552118767,0.5104400354699545,0.4877594531794659,0.577546464631606,0.761010426115424,0.8568682743291276,0.7318083883587191
BLEND_corre,PAC,1.0,6.0,0,1166.6270926133757,1.0918322020714677,-0.12288145955281068,0.583485104426364,0.5082708772322431,0.39313673574999236,0.4895981973369587,0.5532499189657902,0.4786616173509137
Persistence_P,PAC,1.0,6.0,0,2066.035312175321,1.933577489098619,-0.37938697742056,1.105170293111291,-0.5421879121768431,0.7446343328829006,0.8670526947986469,0.9086777821643823,0.8401216032819766
Persistence_Pcyclic,PAC,1.0,6.0,0,1190.7775153163545,1.1144342909203409,-0.006652989552118765,0.5104400354699544,0.4877015219655745,0.3439209121508828,0.49973340120387466,0.5882714287254237,0.47730858069339366
BLEND_corre,PAC,1.0,10.0,0,1238.338692659876,1.1585224371435665,-0.3191653163119002,0.5964754184824843,0.4460795483176043,0.315595024996125,0.4488035830680703,0.5270649693398867,0.43048785913469406
Persistence_P,PAC,1.0,10.0,0,2029.5979609473006,1.8987816419494703,-0.8221212605043923,1.0698457140687605,-0.4879507281061195,0.5660551540120886,0.7355748814601439,0.8077316327336496,0.7031205560686273
Persistence_Pcyclic,PAC,1.0,10.0,0,1190.9952873582843,1.1142305179636331,-0.006652989552118766,0.5104400354699545,0.4876242104945867,0.2700737209975968,0.43164519977604937,0.5274344440128008,0.409717788262149
