Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,1223.3584827109255,0.6599681090884542,-0.00821667980451187,0.4081201692707443,0.5533995510701084,1.7260429545350873,1.8407667637204979,1.8027032483440648,1.7898376555332165
Persistence_P,PAC,1.0,0.5,0,664.5917923019824,0.3585289141979878,-0.0006075209070508452,0.23644844306940913,0.8681981133891028,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,2.1572842333553246,2.3607807905811304,2.339525217406556,2.2858634137810037
BLEND_corre,PAC,1.0,1.0,0,1249.2177118487766,0.6739184489093497,-0.012270114960727031,0.4189956488533029,0.5343196139998309,1.113827415262826,1.264837223364828,1.3108349396072747,1.2298331927449764
Persistence_P,PAC,1.0,1.0,0,987.6509710281146,0.5328104173883611,-0.004436929681149011,0.3761764552674742,0.7089157749593875,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,1.3559766728950688,1.588572869230483,1.6651800618402,1.5365765346552507
BLEND_corre,PAC,1.0,3.0,0,1369.240010268182,0.738667163579457,-0.036799328867885596,0.48487283983814167,0.4405376798701528,0.6014806887120736,0.6884868366374891,0.7526921016759605,0.6808865423418412
Persistence_P,PAC,1.0,3.0,0,1988.7671592320244,1.0728849474988431,-0.0771918195210478,0.8061320154374039,-0.18026508397149388,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.6327580203575955,0.7889086108251442,0.876849776253595,0.7661721358121115
BLEND_corre,PAC,1.0,6.0,0,1537.1346006490253,0.8292416574058986,-0.12224804569967716,0.5831843169127878,0.29492473866753255,0.5276510289435167,0.5646657367307004,0.608851535760887,0.5670561004783681
Persistence_P,PAC,1.0,6.0,0,2722.202713323322,1.4685531695389185,-0.378938799816497,1.105246242162101,-1.2113251482525897,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.4615138950730207,0.5763551440035819,0.647392721425301,0.5617539201673012
BLEND_corre,PAC,1.0,10.0,0,1631.3244321681302,0.8800544697430266,-0.31867364944994786,0.5961840119641787,0.2058686132720472,0.5572354009204188,0.6101365853150916,0.6525248073302324,0.6066322645219143
Persistence_P,PAC,1.0,10.0,0,2673.7036778833194,1.442389279588179,-0.8219928048252806,1.0698961533661109,-1.1332326730932802,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,1568.9555368444046,0.8464081735065201,-0.0059356409517053186,0.5100864982350504,0.2654303983308993,0.47676262469980335,0.5868098061212578,0.652982230005302,0.5721848869421211
