Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,25.0,0.5,336,590.3804327830446,0.32653246624966925,-0.031587737566779114,0.20715108945071672,0.8740484951748171,0.883210090363852,0.9181171565015813,0.9277819744305708,0.9097030737653347
Persistence_P,PAC,1.0,0.5,0,1m,,,336,643.0338749279518,0.3556544651598686,-0.00035224344167961104,0.23454339087699694,0.8505805426828772,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,25.0,0.5,336,724.5940926665377,0.4007644613033677,-0.04479020255068301,0.2614922755154607,0.8102730484522549,0.715786015223681,0.7891024975784626,0.8293834948216902,0.7780906692079447
Persistence_P,PAC,1.0,1.0,0,1m,,,336,918.2509178340159,0.5078737711934799,-0.002483729875733564,0.3653218559093323,0.6953071993170368,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,25.0,0.5,336,929.575186632214,0.5141370909341405,-0.06905753729545763,0.35106908550711113,0.6877456512339382,0.44322374181427987,0.5110896439178392,0.552644562545798,0.502319316092639
Persistence_P,PAC,1.0,3.0,0,1m,,,336,1818.8104527151188,1.0059626467735494,-0.04064388736315912,0.7920809568324445,-0.19540297800667306,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,25.0,0.5,336,1038.7997121812225,0.5745478900088012,-0.081437250718917,0.3928966319029372,0.610055237256468,0.3457541753453917,0.39769912551195125,0.4299489547536037,0.3911340852036489
Persistence_P,PAC,1.0,6.0,0,1m,,,336,2612.0241296583026,1.4446797922152723,-0.2786627975142358,1.1363467455178307,-1.4654364912799016,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,25.0,0.25,336,1084.3468078545593,0.5997394523554986,-0.11970747536899741,0.41019292589160855,0.5751106346487318,0.37081112091189705,0.4227116537825443,0.45380949351761607,0.41577742273735246
Persistence_P,PAC,1.0,10.0,0,1m,,,336,2565.216260662594,1.4187909109882806,-0.7424100929265915,1.106204487294944,-1.3778662289228434,1.0,1.0,1.0,1.0
