Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,0.75,336,465.63238833643993,0.3831765730925114,0.004371933171020445,0.18943606003639485,0.9159002384062187,0.8061752109223025,0.8834866604200682,0.9217891282690336,0.8704836665371348
Persistence_P,PAC,1.0,0.5,0,1y,,,336,527.0395232849893,0.43370951736874425,-0.0009240674233288646,0.2349812515565581,0.8922555839996816,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,50.0,0.75,336,570.8698037005374,0.4697781781148662,0.005859811889239764,0.23903907230126825,0.8735896757877402,0.6536749728739383,0.7585315235536308,0.8284688171675642,0.7468917711983778
Persistence_P,PAC,1.0,1.0,0,1y,,,336,752.5986540758117,0.6193258467545433,-0.003054334592845328,0.36568490797546127,0.7802973593612352,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,100.0,0.5,336,719.426432546221,0.5920278784732002,-0.022125526317492015,0.32230846600619484,0.7992381529209192,0.4068524489003103,0.4826164190592447,0.5366982768429142,0.4753890482674897
Persistence_P,PAC,1.0,3.0,0,1y,,,336,1490.679562764536,1.2267048013559696,-0.04119266349810115,0.7921998918216393,0.13806007665133613,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,100.0,0.5,336,810.5763813459779,0.6670366748832401,-0.029796832321195527,0.366972820343961,0.7451431609362302,0.3229630488323726,0.37863505775661876,0.41529780180845605,0.3722986361324825
Persistence_P,PAC,1.0,6.0,0,1y,,,336,2140.7853412955883,1.7616875701774077,-0.2790754207693084,1.136268751706115,-0.7776843408716589,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,0.5,336,822.0637842040904,0.6764898481829554,-0.033512323039475315,0.3764193211902896,0.7378683664213928,0.34029874153593714,0.3910079270819879,0.42266701854553745,0.38465789572115416
Persistence_P,PAC,1.0,10.0,0,1y,,,336,2102.4222970081046,1.7301179882245883,-0.7425574409152496,1.1061437356227717,-0.7145427166102463,1.0,1.0,1.0,1.0
