Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,0.75,336,568.1066063153895,0.3142130750818164,0.004946788333832142,0.18897213143555674,0.8833729932088576,0.8057022230682278,0.8834785047351393,0.9217889928869336,0.8703232402301003
Persistence_P,PAC,1.0,0.5,0,1y,,,336,643.0338749279518,0.3556544651598686,-0.00035224344167961104,0.23454339087699694,0.8505805426828772,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,50.0,0.75,336,696.5139908395819,0.3852336875972086,0.006435518643712435,0.2386035341270737,0.8246930477320796,0.6531323824936762,0.7585225098195704,0.8284686786139801,0.7467078569757423
Persistence_P,PAC,1.0,1.0,0,1y,,,336,918.2509178340159,0.5078737711934799,-0.002483729875733564,0.3653218559093323,0.6953071993170368,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,100.0,0.5,336,877.775923318716,0.485487528278516,-0.021565837051780085,0.3219205873088281,0.7215759290286045,0.40642384409315707,0.4826098959396086,0.5366981705486181,0.47524397019379466
Persistence_P,PAC,1.0,3.0,0,1y,,,336,1818.8104527151188,1.0059626467735494,-0.04064388736315912,0.7920809568324445,-0.19540297800667306,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,100.0,0.5,336,988.9921477024483,0.5469999125284564,-0.0292415337495244,0.366610505418178,0.646552318285079,0.3226220402040351,0.3786305556954504,0.4152977344148821,0.37218344343812254
Persistence_P,PAC,1.0,6.0,0,1y,,,336,2612.0241296583026,1.4446797922152723,-0.2786627975142358,1.1363467455178307,-1.4654364912799016,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,0.5,336,1003.0084263299221,0.5547521512100413,-0.032959151039596214,0.37606241299641796,0.6364630044337193,0.33995741051098227,0.391003457178634,0.4226669518280716,0.38454260650589595
Persistence_P,PAC,1.0,10.0,0,1y,,,336,2565.216260662594,1.4187909109882806,-0.7424100929265915,1.106204487294944,-1.3778662289228434,1.0,1.0,1.0,1.0
