Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,1.0,336,470.64925571851785,0.3873050360157891,-0.0007710040360718151,0.19760725298809617,0.9140782419324829,0.8409490190349662,0.8930056189809142,0.9223179191716269,0.885424185729169
Persistence_P,PAC,1.0,0.5,0,6m,,,336,527.0395232849893,0.43370951736874425,-0.0009240674233288646,0.2349812515565581,0.8922555839996816,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,1.0,336,576.4673248581479,0.4743844706080685,0.0013235894957756757,0.250475432028035,0.8710985526594792,0.6849487812191659,0.765969114794721,0.8260691100461766,0.7589956686866879
Persistence_P,PAC,1.0,1.0,0,6m,,,336,752.5986540758117,0.6193258467545433,-0.003054334592845328,0.36568490797546127,0.7802973593612352,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,1.0,336,731.6122417966253,0.602055781913532,-0.011716771514627753,0.3465442825240742,0.7923794535775857,0.43744550599117893,0.4907910862075654,0.5324161766509949,0.48688425628324644
Persistence_P,PAC,1.0,3.0,0,6m,,,336,1490.679562764536,1.2267048013559696,-0.04119266349810115,0.7921998918216393,0.13806007665133613,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,50.0,1.0,336,827.8501098341987,0.6812515109909564,-0.02128764183078517,0.3904569205684301,0.73416520577756,0.34363078275465775,0.3867039323677308,0.4193169757556618,0.38321723029268345
Persistence_P,PAC,1.0,6.0,0,6m,,,336,2140.7853412955883,1.7616875701774077,-0.2790754207693084,1.136268751706115,-0.7776843408716589,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,25.0,1.0,336,840.8402072035971,0.6919412763913555,-0.02778029323714453,0.398799985695937,0.7257571312128528,0.3605317942440889,0.39993877937851596,0.42813446765037266,0.3962016804243258
Persistence_P,PAC,1.0,10.0,0,6m,,,336,2102.4222970081046,1.7301179882245883,-0.7425574409152496,1.1061437356227717,-0.7145427166102463,1.0,1.0,1.0,1.0
