Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,474.8351284240639,0.4446362078348483,-0.015371419103140497,0.21676351661463913,0.9185131658131563,0.9110850483311402,0.9414041913422793,0.9545944544651802,0.9356945647128666
ELM,PAC,1.0,0.5,27000,500.0,100.0,25.0,1.25,455.81031340702145,0.42682134727048293,0.008774721346834293,0.205386226654901,0.9249120825839054,0.8632648296212111,0.9036857507205899,0.9278889636665083,0.8982798480027697
Persistence_P,PAC,1.0,0.5,0,,,,,504.2831548114086,0.47221137655613943,-0.0013287144491142752,0.23699944626726246,0.9080925563968827,0.9961392734771664,0.9997876044646674,0.9999815196931822,0.9986361325450054
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,1190.4510811213463,1.1147398805127362,-0.006652989552118765,0.5104400354699544,0.48781733954613926,2.145445375907345,2.3601784498865395,2.339478990735782,2.281700938843222
BLEND_opti,PAC,1.0,1.0,0,,,,,638.4672955817056,0.5978069495403908,-0.03722700353862761,0.2969852265306589,0.8526820212411783,0.77851607682874,0.8504193101669972,0.8898249763445524,0.8395867877800965
ELM,PAC,1.0,1.0,27000,500.0,100.0,25.0,1.25,577.9967686443474,0.5411874460894173,0.01385792167600442,0.2707947678580602,0.8792660915082223,0.709860496299276,0.7698743798951193,0.8164277716032591,0.7653875492658848
Persistence_P,PAC,1.0,1.0,0,,,,,749.4289060015302,0.7017020469090481,-0.005155359799496958,0.3766266262676167,0.7970265098520546,0.9872877750060065,0.9982168509983905,0.9994952073537932,0.9949999444527301
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,1190.5054681776426,1.1146889547318324,-0.006652989552118765,0.5104400354699545,0.4877980490703907,1.338065797119266,1.5857176178072647,1.6643388390744593,1.5293740846669968
BLEND_opti,PAC,1.0,3.0,0,,,,,937.8962770075515,0.8780065206243817,-0.1066830543242851,0.43243624313708345,0.682135949471117,0.48928768522722393,0.5994795011325231,0.6642382699524968,0.5843351521040813
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,1.25,842.803028368649,0.7889854908803434,-0.010603731541387872,0.3996974479187538,0.7433247673493464,0.452244792584142,0.5386983095950061,0.5977779666966303,0.5295736896252595
Persistence_P,PAC,1.0,3.0,0,,,,,1509.1862915980882,1.412816574011608,-0.07785774738647334,0.8062719167688671,0.17696653756778713,0.912270712921023,0.9646335819669537,0.9772121374645424,0.9513721441175065
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,1190.61426465657,1.1145870961895874,-0.006652989552118767,0.5104400354699545,0.4877594531794659,0.577546464631606,0.761010426115424,0.8568682743291276,0.7318083883587191
BLEND_opti,PAC,1.0,6.0,0,,,,,1097.6245140564533,1.0272535224133041,-0.15816025571309644,0.4940164570905666,0.5647193009835278,0.3328551421004983,0.4606398967051843,0.5383355769513253,0.4439435385856693
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,1.25,969.3326962291197,0.9071867599893407,0.02802233006474593,0.4638662131910682,0.6605252019782647,0.31254071011449586,0.40679969091959833,0.46741682586882716,0.3955857423009738
Persistence_P,PAC,1.0,6.0,0,,,,,2066.035312175321,1.933577489098619,-0.37938697742056,1.105170293111291,-0.5421879121768431,0.7446343328829006,0.8670526947986469,0.9086777821643823,0.8401216032819766
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,1190.7775153163545,1.1144342909203409,-0.006652989552118765,0.5104400354699544,0.4877015219655745,0.3439209121508828,0.49973340120387466,0.5882714287254237,0.47730858069339366
BLEND_opti,PAC,1.0,10.0,0,,,,,1135.069277079403,1.061909179615691,-0.17791305273259597,0.5096496780894233,0.5346140669004352,0.26965554306513606,0.41137627500721186,0.4982876788899315,0.39310649898742644
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,1.25,968.9996913582781,0.9065434930507282,0.042320342191913746,0.46866930793405176,0.6608312803987825,0.24797283738643636,0.3511886821038686,0.4171984824105333,0.33878666730027945
Persistence_P,PAC,1.0,10.0,0,,,,,2029.5979609473006,1.8987816419494703,-0.8221212605043923,1.0698457140687605,-0.4879507281061195,0.5660551540120886,0.7355748814601439,0.8077316327336496,0.7031205560686273
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,1190.9952873582843,1.1142305179636331,-0.006652989552118766,0.5104400354699545,0.4876242104945867,0.2700737209975968,0.43164519977604937,0.5274344440128008,0.409717788262149
